Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2014,Duke ,126.4,99.4,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,72.9,69.3,50.3,50.3,39.5,30.7
2014,Creighton ,125.7,102.6,58.9,48.5,15.0,14.8,27.7,27.8,33.9,33.0,74.3,69.4,56.3,47.0,41.4,34.2
2014,Michigan ,125.5,100.6,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,76.3,73.1,52.7,50.2,40.2,31.8
2014,Wisconsin ,123.2,96.7,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,74.6,72.2,51.3,45.9,37.6,34.1
2014,Iowa ,121.7,99.9,51.1,47.4,15.9,18.8,37.6,29.0,45.3,35.4,73.5,70.6,50.6,47.3,35.0,31.7
2014,Michigan St. ,120.1,96.0,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,70.7,73.0,52.1,43.5,39.2,33.2
2014,Baylor ,119.7,100.2,51.3,48.7,17.8,15.8,40.1,32.0,44.8,32.3,68.1,67.0,48.3,46.4,38.0,35.6
2014,Kansas ,119.7,96.3,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,71.1,67.8,55.5,44.3,34.0,35.5
2014,UCLA ,119.6,97.3,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,74.9,67.6,53.0,48.6,38.0,34.4
2014,Louisville ,119.4,88.2,53.5,43.9,15.3,25.0,37.1,32.7,41.2,38.4,66.1,68.1,52.7,44.3,36.8,28.6
2014,Iowa St. ,119.1,99.5,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,69.3,73.2,54.4,46.0,35.8,34.1
2014,Oklahoma ,118.7,100.2,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,74.9,71.5,48.7,48.8,37.9,34.2
