Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2019,Gonzaga ,124.4,91.0,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,76.1,69.7,61.4,43.4,36.3,30.4
2019,Virginia ,123.8,91.1,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,74.4,66.6,52.5,45.7,39.5,28.9
2019,Tennessee ,123.5,96.5,55.3,48.1,15.8,18.0,31.6,30.2,33.3,34.9,75.8,65.5,55.4,44.7,36.7,35.4
2019,Purdue ,123.5,95.6,53.6,49.0,15.8,18.6,34.5,27.0,29.9,31.7,71.9,73.2,51.5,47.2,37.4,34.2
2019,Auburn ,122.0,96.4,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,71.3,71.0,51.7,51.4,38.1,34.8
2019,North Carolina ,120.8,92.6,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,74.3,67.9,52.1,47.9,36.2,33.5
2019,Michigan St. ,120.6,92.3,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,75.3,67.9,54.3,41.9,37.8,31.6
2019,Duke ,119.6,90.4,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,68.6,69.6,58.0,45.0,30.8,29.9
2019,Iowa St. ,119.1,97.8,54.7,48.4,16.3,18.8,28.3,30.1,30.0,23.6,73.2,71.7,55.0,47.1,36.2,33.6
2019,LSU ,118.7,97.9,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,75.2,69.0,52.9,49.4,31.9,33.7
2019,Virginia Tech ,118.6,94.5,55.6,49.0,17.3,21.6,29.6,27.2,31.9,26.3,76.1,72.2,52.9,49.0,39.4,32.7
2019,Kentucky ,118.3,91.0,53.0,46.6,18.6,17.9,36.8,25.5,41.9,26.8,73.9,70.5,52.9,43.6,35.4,34.3
2019,Mississippi St. ,117.7,98.0,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,71.7,71.5,53.4,48.4,37.7,35.7
2019,Wofford ,117.3,98.2,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,71.0,70.9,53.9,50.6,41.4,32.6
2019,Iowa ,116.8,101.8,52.7,51.5,17.2,18.4,29.8,29.4,42.3,28.8,73.9,69.0,51.4,53.5,36.4,32.4
2019,Houston ,116.6,91.6,52.1,42.5,16.5,18.2,34.4,26.0,31.6,37.3,70.3,69.4,51.3,43.0,35.5,27.9
2019,Texas Tech ,115.9,86.4,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,73.2,69.4,52.8,41.9,36.5,29.7
2019,Belmont ,115.9,102.0,57.6,48.7,15.2,16.0,25.3,25.0,28.5,27.4,73.5,69.3,59.2,47.2,37.0,34.4
2019,Hofstra,115.9,109.5,55.9,52.1,13.8,18.3,26.8,29.9,37.7,25.0,80.6,70.4,54.5,51.5,38.7,35.3
2019,Utah,115.6,108.0,55.0,52.3,19.2,14.7,31.0,27.1,35.5,32.5,70.6,72.2,54.6,51.7,37.0,35.6
2019,Villanova ,115.5,100.1,53.2,50.4,16.9,18.0,30.3,27.7,34.4,28.2,72.8,70.0,53.7,49.7,35.2,34.3
2019,Baylor ,115.4,100.4,51.2,49.1,19.7,18.6,37.9,29.4,32.3,36.5,67.7,68.3,51.2,47.5,34.1,34.5
2019,Michigan ,115.3,86.8,51.6,44.1,13.9,18.0,24.7,24.8,27.5,24.1,70.1,66.3,51.8,44.3,34.2,29.1
2019,Buffalo ,114.5,96.4,53.4,47.3,16.0,20.3,31.7,26.9,32.7,31.9,68.4,70.5,55.7,49.3,33.7,29.3
2019,Texas,114.1,94.9,50.9,48.7,16.2,18.9,28.1,29.5,29.7,29.7,69.9,69.6,49.8,46.2,34.8,35.4
2019,Saint Mary's ,114.1,97.4,53.8,48.9,16.2,16.3,31.2,23.0,29.1,29.1,74.2,73.6,52.3,49.2,37.8,32.1
2019,Mississippi ,114.0,99.0,53.1,51.0,18.2,20.6,30.2,29.3,30.9,33.5,78.3,70.5,52.7,48.2,35.8,37.4
2019,Kansas ,113.7,93.7,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,70.5,68.6,52.6,46.0,35.0,33.6
2019,Louisville ,113.7,94.3,50.9,46.7,17.5,16.1,29.1,25.9,34.9,32.0,77.7,69.5,50.6,46.0,34.2,32.0
2019,UCF ,113.6,94.4,52.9,45.4,17.6,18.0,29.5,29.6,45.3,29.2,64.9,65.0,52.0,44.5,36.5,31.3
2019,Nevada ,113.5,97.0,53.7,47.7,14.6,19.2,27.2,24.9,40.8,28.0,70.8,67.6,54.9,46.3,34.7,33.2
2019,Nebraska,113.3,99.4,49.2,48.1,14.3,19.3,28.5,32.1,33.0,30.0,69.4,70.9,48.6,46.9,33.4,33.8
2019,North Carolina St.,113.2,98.7,52.0,49.4,17.3,21.5,36.0,28.8,28.5,38.8,70.7,70.4,51.6,51.0,35.2,30.9
2019,SMU,113.2,105.3,51.2,50.0,16.6,17.5,33.4,31.6,27.8,29.5,71.5,72.4,51.3,48.2,34.1,35.1
2019,Cincinnati ,113.2,95.0,49.0,48.6,16.0,20.9,37.4,29.3,37.6,30.5,70.4,66.3,47.6,45.1,34.5,35.5
2019,New Mexico St. ,112.9,99.2,54.1,48.9,17.8,19.1,37.0,22.5,34.6,32.5,67.6,70.9,56.7,48.0,34.0,33.5
2019,Marquette ,112.6,97.0,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,75.7,67.9,50.0,45.1,38.8,32.4
2019,DePaul,112.6,107.4,52.7,53.2,18.8,17.7,32.7,25.6,36.1,30.9,72.7,73.0,53.3,51.2,34.3,37.3
2019,Florida St. ,112.5,92.0,50.5,47.2,18.9,20.3,32.8,27.0,35.8,35.7,74.4,72.2,50.9,45.3,33.2,33.5
2019,Maryland ,112.4,94.5,51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,74.3,72.3,50.8,44.7,34.9,31.9
