Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2016,North Carolina ,124.3,96.1,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,74.7,69.7,53.9,44.6,32.7,36.2
2016,Villanova ,124.0,92.0,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,78.2,66.2,57.4,44.1,36.2,33.9
2016,Kentucky ,123.9,96.3,53.5,44.5,16.2,18.0,37.5,31.9,37.8,40.8,69.0,70.2,52.9,42.7,36.6,32.6
2016,Michigan St. ,123.4,97.1,56.3,43.3,17.6,14.2,37.1,24.3,30.0,34.1,72.9,71.4,51.4,41.7,43.4,31.0
2016,Indiana ,122.1,99.5,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,73.1,68.1,56.1,49.0,41.6,34.3
2016,Iowa St. ,122.1,100.2,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,70.2,68.8,56.7,49.5,38.7,33.5
2016,Duke ,121.9,100.0,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,72.3,68.1,51.0,48.9,38.5,34.0
2016,Kansas ,121.6,91.4,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,71.3,72.3,52.7,43.4,41.3,32.5
2016,Virginia ,120.8,92.1,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,75.2,70.2,52.6,46.3,40.3,34.7
2016,Miami FL ,120.3,97.7,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,74.9,71.7,53.2,46.9,37.5,34.4
2016,Oregon ,119.1,97.1,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32.0,71.6,70.0,52.6,46.1,34.4,36.2
2016,Oklahoma ,119.1,94.5,54.3,47.2,18.3,17.7,31.2,30.5,33.0,28.3,72.2,67.8,48.2,45.3,42.2,33.7
2016,Butler ,119.1,99.8,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,73.1,71.0,49.9,49.1,39.3,33.8
2016,Notre Dame ,119.0,104.4,54.0,49.5,15.3,14.8,32.7,32.1,32.9,26.0,74.2,72.8,52.9,46.5,37.4,36.9
2016,Baylor ,118.9,100.5,51.6,51.2,18.6,19.8,40.0,28.8,38.6,38.6,72.5,70.3,49.8,49.1,37.4,36.9
2016,Saint Mary's,118.6,99.6,58.4,46.2,15.4,15.5,29.8,26.7,29.0,24.1,68.8,68.0,56.4,44.8,41.0,32.7
2016,Gonzaga ,118.4,95.6,55.2,44.8,17.1,15.1,32.1,26.0,34.4,28.1,75.8,70.4,54.3,44.4,37.8,30.3
2016,SMU,118.2,98.0,55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,70.0,63.7,52.5,44.6,42.0,33.1
2016,Purdue ,118.1,94.4,53.6,44.3,17.7,13.7,35.0,23.4,35.4,28.1,74.4,70.1,52.8,42.9,36.7,31.4
2016,Xavier ,117.8,95.3,51.4,47.8,17.4,19.3,35.2,26.0,41.7,33.6,73.0,69.8,49.8,48.6,36.3,31.1
2016,Houston,117.1,105.5,52.2,47.3,15.4,18.4,35.8,33.3,34.4,36.0,70.5,70.5,52.1,48.3,34.8,30.3
2016,Arizona ,116.8,96.8,53.6,46.2,18.2,16.0,35.0,24.9,43.8,29.3,72.1,71.3,52.2,45.7,38.1,31.6
2016,Utah ,116.5,98.4,55.1,48.0,18.2,15.3,29.2,27.8,37.9,23.0,72.4,72.4,55.5,44.5,36.3,37.1
2016,Maryland ,116.0,97.5,55.2,46.5,18.9,16.4,29.1,29.9,37.0,27.0,76.9,71.2,55.8,45.5,36.2,32.1
