Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2023,Gonzaga ,125.2,99.7,58.5,51.7,14.6,18.8,31.1,26.0,34.2,26.7,70.2,73.5,59.0,51.2,38.4,35.0
2023,Baylor ,123.1,100.8,53.1,51.4,18.1,19.9,34.7,31.1,37.2,31.4,74.9,70.7,50.8,53.3,37.2,32.2
2023,Iowa ,120.6,104.7,51.9,53.3,14.1,18.5,32.2,27.6,32.6,23.4,73.9,74.4,52.1,52.6,34.3,36.6
2023,Arizona ,120.5,96.5,56.8,47.2,18.4,16.9,31.1,26.2,36.5,26.0,70.9,71.4,56.6,45.9,38.2,32.8
2023,Toledo,120.0,109.6,56.6,52.4,13.8,18.3,29.9,31.0,35.0,27.5,77.3,74.4,54.8,51.9,39.9,35.5
2023,Connecticut ,119.8,94.1,53.5,45.5,18.9,19.4,39.2,26.2,31.4,38.7,75.4,73.6,53.4,45.8,35.7,30.0
2023,Purdue ,119.5,94.2,52.2,47.2,17.0,15.4,38.3,23.3,37.2,19.3,74.3,73.6,54.1,47.4,32.6,31.4
2023,Xavier ,119.2,99.7,55.6,50.4,17.5,16.5,31.8,25.4,30.8,27.1,71.4,72.4,54.0,48.7,39.5,35.9
2023,Marquette ,119.1,97.2,56.0,51.1,15.2,22.8,26.5,32.1,27.1,29.0,72.1,69.8,58.8,50.0,34.8,35.2
2023,Missouri ,118.5,104.6,55.1,52.3,16.0,24.3,26.8,37.3,29.5,35.2,75.8,75.2,55.9,51.7,36.1,35.4
2023,Miami FL ,118.4,102.7,55.0,51.3,16.4,18.1,32.0,29.0,30.0,24.1,77.6,74.5,54.9,51.8,36.8,33.6
2023,Houston ,118.3,90.0,52.7,42.5,15.3,22.0,37.1,27.4,28.5,35.8,71.9,69.0,53.2,43.1,34.5,27.8
2023,West Virginia ,117.4,97.6,51.7,50.7,18.5,20.9,33.7,29.3,39.7,38.5,74.1,72.7,51.3,50.5,34.8,34.1
2023,Utah St. ,117.1,98.5,55.6,47.8,17.4,15.8,27.4,24.8,35.5,30.2,76.7,74.2,54.1,45.9,38.5,34.3
2023,Alabama ,117.0,89.4,52.7,41.5,19.0,16.0,33.8,27.6,36.7,32.8,72.6,71.4,54.6,41.2,33.8,28.1
2023,Penn St. ,116.9,101.9,55.5,49.2,13.7,13.1,18.8,25.1,21.4,25.9,73.8,70.4,53.5,48.8,38.5,33.3
2023,Kentucky ,116.8,99.3,51.2,48.8,17.3,16.8,38.7,25.5,32.5,29.9,70.3,74.4,50.4,48.3,35.4,33.1
2023,New Mexico,116.0,102.2,53.0,50.4,15.7,17.6,28.3,27.3,39.5,29.0,74.4,70.4,52.7,50.8,35.9,33.2
2023,Texas ,115.9,92.4,52.7,47.8,16.5,22.8,28.3,29.4,31.5,34.5,75.2,72.4,53.8,47.2,33.9,32.7
2023,Providence ,115.7,102.3,51.5,50.0,16.9,16.9,35.2,26.7,36.8,25.5,74.5,74.4,50.9,49.6,35.1,33.9
2023,Vanderbilt,115.6,104.3,50.1,49.2,16.0,15.0,31.0,31.7,32.3,31.7,71.2,69.6,49.2,50.4,34.2,31.4
2023,Memphis ,115.6,95.3,53.2,46.8,18.4,20.9,31.0,32.3,35.9,34.9,74.7,73.9,53.1,47.2,35.6,30.8
2023,Ohio St.,115.5,101.4,52.0,48.9,16.1,15.9,31.5,28.6,26.6,28.1,73.9,72.3,50.6,49.3,36.8,32.1
2023,Texas A&M ,115.1,95.0,49.0,47.9,18.3,21.1,36.7,30.4,45.9,35.1,75.9,70.4,49.0,47.4,32.8,32.3
2023,Creighton ,114.7,94.0,54.3,47.3,16.6,14.3,25.5,23.3,28.1,19.8,76.7,72.9,54.5,45.6,36.0,34.1
2023,Stanford,114.6,103.8,52.4,51.5,18.9,18.3,31.2,26.4,29.4,28.6,69.4,73.1,51.1,50.4,36.3,35.4
2023,Oregon,114.4,99.8,51.1,48.4,18.2,16.5,32.8,25.9,31.2,24.7,70.9,76.3,53.3,46.0,31.9,35.0
2023,North Carolina St. ,114.1,100.1,51.8,49.8,13.6,19.1,30.7,26.6,25.3,34.0,72.0,73.4,51.5,50.6,34.9,32.2
2023,Pittsburgh ,113.9,103.9,53.2,49.2,16.4,16.7,30.4,28.2,32.4,30.6,76.1,71.0,52.7,48.6,36.0,33.4
2023,Furman ,113.8,105.0,55.6,50.6,15.8,18.4,29.6,27.1,34.7,31.8,73.5,70.8,59.1,51.2,34.4,33.1
2023,Virginia Tech,113.8,103.2,54.2,50.6,14.8,16.3,26.1,27.4,26.4,24.9,73.5,70.4,54.1,50.4,36.2,34.1
2023,Kansas ,113.8,92.4,52.4,47.1,17.5,20.2,28.4,28.3,29.8,31.2,71.7,72.3,52.9,47.2,34.4,31.2
2023,UCLA ,113.6,88.5,50.9,46.8,15.3,23.6,33.7,27.6,27.1,27.6,72.2,69.7,50.4,46.8,34.7,31.1
2023,Indiana ,113.6,97.4,53.8,47.3,16.9,16.3,28.0,27.9,30.1,30.6,71.2,70.5,53.2,45.7,37.0,33.2
2023,Oral Roberts ,113.5,101.5,56.1,48.5,13.2,17.6,24.5,27.4,24.6,22.0,78.4,71.9,56.6,46.6,37.0,34.2
2023,Maryland ,113.2,96.5,51.1,47.9,16.2,18.4,30.2,27.2,33.8,27.8,73.9,72.7,52.0,47.7,33.0,32.1
2023,Saint Mary's ,113.2,90.6,52.5,46.7,16.4,19.0,33.1,21.8,31.2,30.3,69.1,75.2,51.0,45.6,36.7,32.8
2023,Auburn ,113.1,94.8,49.6,45.6,18.1,19.3,33.3,32.0,35.5,39.1,70.2,70.5,51.0,46.9,31.4,28.8
2023,San Diego St. ,113.0,90.6,50.1,47.5,17.6,19.6,31.7,25.8,34.3,29.4,73.6,73.6,49.4,49.9,34.4,29.2
2023,Michigan St. ,113.0,96.5,51.6,48.1,16.4,14.7,27.4,25.2,25.8,28.6,76.2,72.1,47.7,48.6,39.5,31.5
2023,Duke ,112.8,94.3,51.1,46.3,18.2,16.6,36.2,25.9,30.8,24.1,77.0,76.5,51.4,46.7,33.6,30.4
2023,Florida Atlantic ,112.8,96.5,55.0,45.9,16.7,18.3,30.4,24.5,29.5,26.7,71.8,74.9,54.3,44.8,37.2,32.0
2023,Villanova,112.6,100.5,52.0,50.8,15.6,17.2,22.6,25.3,30.7,27.5,82.1,78.2,52.9,51.0,34.0,33.7
2023,USC ,112.6,98.1,51.3,45.2,18.1,18.1,29.0,33.0,33.8,29.8,74.4,71.9,51.1,42.4,34.5,33.4
2023,Colgate ,112.5,106.2,58.6,51.9,14.9,17.6,24.9,24.1,27.6,20.3,66.2,68.6,57.1,51.5,40.9,34.9
2023,Louisiana Lafayette ,112.4,102.8,53.0,50.6,17.5,18.1,33.8,26.4,37.7,33.8,67.2,70.5,52.2,49.2,36.6,35.9
2023,Tennessee ,112.4,88.2,50.3,42.4,18.1,22.2,36.8,26.9,30.9,34.9,71.4,72.2,51.0,44.6,32.9,26.2
2023,Cincinnati,112.4,97.8,51.7,47.7,15.1,17.1,30.2,27.5,25.8,29.3,70.0,74.4,50.7,47.8,35.5,31.5
2023,Arkansas ,112.4,93.3,52.0,46.5,18.3,20.4,30.5,28.2,38.8,38.9,69.0,71.4,53.8,46.9,31.7,30.6
2023,Stetson,112.3,112.4,54.1,53.3,15.8,14.5,28.7,28.3,25.5,29.5,77.0,73.8,51.1,52.7,38.6,36.2
