Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2012,Missouri ,126.2,100.2,58.0,50.1,15.4,21.5,30.4,32.2,37.5,27.3,76.6,67.6,57.0,47.9,39.8,36.8
2012,Kentucky ,123.5,90.4,53.8,42.0,17.1,17.6,37.8,31.2,41.7,25.8,72.3,69.4,52.7,39.6,37.8,31.8
2012,Florida ,121.8,97.9,54.8,47.8,16.9,19.1,33.5,30.2,33.2,29.9,71.3,69.3,53.0,46.2,38.0,34.2
2012,Indiana ,121.2,98.2,55.2,48.1,19.2,20.0,35.3,31.3,44.5,34.3,76.3,70.2,51.5,46.2,43.1,34.9
2012,Creighton ,119.4,103.7,57.8,49.6,17.7,15.3,30.8,26.1,38.1,29.3,72.6,67.5,54.7,47.6,42.4,36.1
2012,Ohio St. ,117.9,88.1,52.1,46.4,17.6,22.2,35.7,25.2,38.1,29.0,70.9,69.9,52.9,45.2,33.4,32.5
2012,Purdue ,117.8,99.5,51.1,49.9,13.5,19.5,31.8,31.5,34.1,33.8,65.6,69.9,47.8,49.1,37.7,34.4
2012,Syracuse ,117.7,93.0,52.1,44.2,16.1,24.4,36.3,39.6,32.9,31.0,69.8,67.6,51.9,42.5,34.9,31.5
2012,Duke ,117.2,96.9,52.8,47.1,17.7,18.5,34.7,31.9,45.1,32.9,70.1,68.9,51.0,47.0,37.1,31.7
2012,Wichita St. ,116.8,93.6,53.8,44.8,17.9,18.6,33.4,26.4,34.6,32.8,75.0,68.7,53.0,43.8,36.9,31.2
2012,Belmont ,116.7,100.3,55.5,48.3,17.6,20.7,34.4,32.0,38.7,35.6,73.6,65.5,54.4,47.1,38.1,33.8
2012,North Carolina ,116.5,90.5,49.8,45.0,16.4,18.3,39.9,27.5,37.3,21.8,68.2,68.1,49.6,43.5,33.5,31.9
2012,Baylor ,116.4,95.6,52.3,47.6,20.4,21.0,38.0,32.3,35.7,33.4,75.4,68.7,50.2,46.2,38.0,33.7
2012,Vanderbilt ,116.3,94.4,54.1,46.9,20.0,19.0,32.2,31.7,40.1,28.6,69.9,69.9,51.2,47.2,38.8,30.9
2012,Northwestern,115.9,103.7,53.5,51.5,16.0,20.1,26.3,36.9,33.8,29.1,69.1,69.5,50.2,50.6,38.5,35.5
2012,Oregon,115.6,102.4,53.4,49.0,19.0,18.6,33.1,31.9,38.5,31.4,70.9,67.7,52.0,48.0,37.4,34.2
2012,Michigan ,114.7,96.9,53.4,49.0,17.6,19.9,28.3,30.6,28.6,30.2,72.4,71.9,54.0,47.2,35.1,35.1
2012,Iona ,114.7,103.7,56.5,51.1,17.4,22.2,32.1,32.3,30.3,28.8,71.3,69.6,55.7,50.1,38.7,35.4
2012,Pittsburgh,114.5,101.1,51.1,49.6,20.1,17.5,40.7,30.9,31.9,33.4,69.9,71.3,50.4,49.3,35.0,33.4
2012,Michigan St. ,114.3,88.3,52.7,43.3,19.9,19.3,36.7,27.0,37.7,34.4,70.0,70.3,52.1,42.4,36.0,29.9
2012,Wisconsin ,114.2,90.4,50.1,42.5,15.0,18.2,30.6,27.8,30.7,29.8,73.9,68.3,46.5,42.0,36.8,29.4
2012,Kansas ,114.1,88.6,52.3,43.4,19.2,20.2,34.9,29.1,39.8,33.1,69.2,72.0,52.5,39.8,34.5,34.0
2012,Temple ,114.0,97.6,52.9,48.4,18.0,19.4,31.0,31.7,34.4,33.6,71.9,70.4,50.1,47.3,39.4,34.1
2012,Iowa St. ,113.9,96.7,52.6,48.6,18.3,17.2,32.3,26.5,38.7,26.5,68.8,69.8,50.3,49.8,37.3,30.6
2012,Memphis ,113.7,92.4,54.0,43.4,18.7,20.7,31.3,32.8,41.3,38.3,71.7,69.5,53.9,42.0,36.2,31.2
2012,Oakland,113.6,111.0,53.1,55.8,16.7,18.5,30.4,30.1,41.9,31.4,73.7,72.8,50.4,53.8,37.8,39.8
2012,Gonzaga ,113.4,95.2,53.5,46.6,19.7,19.4,34.6,28.0,46.1,27.5,71.6,67.3,51.8,46.6,37.9,31.1
2012,South Dakota St. ,112.7,101.1,53.7,50.0,15.8,19.2,30.3,28.6,39.6,29.8,72.7,68.9,50.8,50.4,39.0,32.6
2012,Dayton,112.7,101.9,50.7,50.1,19.7,19.5,36.3,31.1,33.4,37.3,77.8,66.4,50.2,50.0,34.3,33.5
2012,North Carolina St. ,112.6,97.2,50.4,47.1,18.7,18.3,35.8,30.7,36.3,32.1,70.4,70.9,49.4,45.7,35.5,33.2
2012,Mississippi St.,112.6,101.0,51.6,48.8,17.9,15.9,31.6,28.2,32.7,23.7,71.0,67.6,50.6,47.2,35.7,34.9
2012,Saint Mary's ,112.5,99.6,53.3,48.4,18.1,18.4,35.9,26.1,38.9,29.1,73.1,67.7,54.9,46.1,33.7,36.6
2012,Iowa,112.4,102.9,50.5,51.8,18.1,19.8,32.9,32.1,38.5,32.5,72.1,73.0,48.5,51.8,37.3,34.5
2012,St. Bonaventure ,112.1,97.9,50.8,47.1,21.5,19.0,36.4,29.6,42.1,37.3,76.1,71.3,50.4,46.2,34.5,32.6
2012,Davidson ,111.8,100.1,50.9,47.2,17.2,17.5,35.0,27.0,36.8,41.7,76.4,67.0,51.2,45.9,33.7,33.9
2012,Saint Louis ,111.8,90.9,51.8,45.1,17.9,23.0,31.5,29.1,35.5,37.2,71.9,72.1,50.0,44.4,36.6,31.6
2012,Georgetown ,111.7,90.7,51.4,43.1,19.6,19.8,35.5,30.6,38.8,36.3,69.8,68.0,51.3,43.9,34.4,27.7
2012,Texas ,111.6,97.9,48.5,46.9,18.6,20.1,38.5,34.5,42.6,41.5,73.3,67.7,48.2,44.6,32.8,34.8
2012,Colorado St. ,111.4,102.8,53.0,50.3,19.6,18.4,28.7,29.4,42.3,39.5,76.8,70.4,50.1,48.5,40.0,35.5
2012,West Virginia ,111.4,97.8,48.3,49.8,19.2,20.2,40.9,30.1,38.6,31.2,67.1,67.9,49.9,50.4,29.8,32.3
2012,Southern Miss ,111.3,100.7,46.2,50.5,16.4,21.2,36.5,28.2,39.8,40.7,73.6,72.5,43.1,49.2,35.5,35.6
