Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2013,Michigan ,122.6,95.3,54.6,48.0,14.6,18.7,32.5,29.4,28.4,22.7,70.3,68.5,53.4,47.6,37.9,32.6
2013,Indiana ,122.0,91.2,54.7,44.0,19.3,20.9,39.0,31.4,45.8,27.0,74.3,70.7,52.0,43.2,40.3,30.4
2013,Gonzaga ,120.1,91.6,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,71.0,67.9,55.0,42.1,36.5,32.9
2013,Duke ,119.5,93.0,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,73.9,72.4,50.8,46.2,39.9,29.0
2013,Iowa St. ,118.3,99.8,53.8,48.0,18.5,18.6,34.2,28.5,33.0,32.7,73.1,72.3,51.9,48.8,37.4,31.1
2013,Colorado St. ,117.8,99.9,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,71.1,69.6,48.4,47.1,34.1,34.1
2013,Creighton ,117.7,96.4,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,75.9,68.1,55.7,45.5,41.4,31.2
2013,Louisville ,117.0,86.0,50.6,44.8,18.3,27.0,38.2,33.3,40.0,34.9,70.9,65.8,50.8,43.4,33.3,31.8
2013,Florida ,116.9,87.1,55.2,43.3,17.8,22.5,34.2,28.4,31.0,29.9,67.7,65.1,54.3,41.8,37.8,31.0
2013,North Carolina St. ,116.4,99.6,54.2,46.8,18.0,16.6,34.7,32.6,40.9,29.0,68.1,72.6,52.8,47.5,39.1,30.2
2013,Arizona ,115.7,93.7,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,74.9,71.1,50.6,43.4,37.1,35.8
2013,Saint Mary's ,115.3,96.4,53.7,47.1,18.3,17.9,36.9,25.0,37.0,36.9,73.0,72.2,52.3,44.0,37.3,36.7
2013,VCU ,115.0,93.4,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,70.1,68.3,50.5,50.1,35.1,32.9
2013,Ohio St. ,114.7,90.9,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,70.8,71.6,49.4,43.6,35.6,32.4
2013,Missouri ,114.6,96.6,51.2,46.1,18.9,17.6,38.7,28.6,35.0,29.7,74.4,68.6,51.4,44.1,33.9,33.2
2013,Kansas St. ,114.3,95.9,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,68.5,68.7,46.8,46.5,35.8,33.3
2013,Iona ,114.1,106.2,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,78.1,66.7,50.4,49.1,36.7,37.5
2013,Notre Dame ,114.1,96.9,52.2,46.8,17.6,16.0,34.0,29.5,32.0,24.6,70.9,69.0,50.6,45.9,37.0,32.5
2013,Pittsburgh ,114.1,92.7,51.7,44.6,18.1,22.0,40.4,30.0,37.5,36.4,66.8,72.3,51.5,44.0,34.9,30.4
2013,Marquette ,114.0,94.7,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,73.0,68.2,51.6,44.9,29.6,32.3
2013,Baylor,114.0,97.3,51.6,45.7,17.2,18.7,33.5,32.8,36.3,33.3,69.7,69.1,51.1,44.7,34.9,32.2
2013,Syracuse ,113.8,88.4,49.0,42.6,18.9,23.6,38.8,34.5,36.8,35.4,67.5,67.3,48.5,42.6,33.4,28.4
2013,Minnesota ,113.7,94.1,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,68.5,69.4,48.8,42.8,33.7,33.9
2013,Miami FL ,113.6,92.4,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,68.4,64.9,50.6,44.0,36.2,32.6
2013,La Salle ,113.2,97.7,51.9,49.3,17.1,21.3,29.0,34.2,31.3,28.5,73.7,68.2,49.3,50.6,37.7,30.2
2013,Boise St. ,113.2,98.8,51.8,51.4,18.4,20.0,30.3,24.4,33.7,42.2,74.6,71.0,48.4,51.0,38.7,34.8
2013,Dayton,113.1,100.8,53.0,49.2,21.7,21.0,35.2,30.4,39.7,37.5,71.7,70.5,51.1,47.4,38.4,35.3
2013,Detroit,112.9,104.4,50.8,53.2,15.5,22.9,31.8,31.2,35.8,35.6,73.4,71.6,51.1,52.2,33.5,36.7
2013,Kansas ,112.8,87.6,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,73.7,68.7,52.9,39.3,36.4,30.3
2013,North Carolina ,112.7,94.5,49.3,48.0,17.2,21.5,34.6,31.6,28.2,27.1,67.7,70.2,46.3,46.3,37.2,34.4
2013,Michigan St. ,112.4,89.3,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,70.8,67.0,50.4,44.3,34.1,30.1
2013,Davidson ,112.1,99.5,53.1,45.3,17.0,18.8,29.0,28.5,38.9,36.4,79.6,72.3,52.0,44.3,36.6,32.1
2013,Temple ,111.9,98.3,49.0,49.0,15.9,20.1,30.8,31.4,35.6,34.1,72.3,72.4,48.8,47.3,32.8,35.3
2013,Wichita St. ,111.9,92.4,50.0,45.3,19.4,20.0,38.0,26.5,36.5,38.3,69.9,71.4,49.6,43.6,33.9,32.2
2013,Oklahoma ,111.8,97.2,47.8,47.4,17.5,19.6,33.2,31.5,35.4,31.4,75.7,69.4,47.6,46.4,32.3,32.9
2013,Mississippi ,111.2,97.0,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,67.8,66.4,49.4,46.2,32.4,31.3
