Year,Round,Seed1,Team1,Score1,Seed2,Team2,Score2,ScoreDiff
2008,1,7,Miami (Fla.),78,10,St. Mary's (Cal.),64,14
2008,1,3,Stanford,77,14,Cornell,53,24
2008,1,3,Wisconsin,71,14,Cal St. Fullerton,56,15
2008,1,9,Texas A&M,67,8,Brigham Young,62,5
2008,1,7,West Virginia,75,10,Arizona,65,10
2008,1,4,Washington St.,71,13,Winthrop,40,31
2008,1,3,Xavier,73,14,Georgia,61,12
2008,1,4,Pittsburgh,82,13,Oral Roberts,63,19
2008,1,2,Duke,71,15,Belmont,70,1
2008,1,1,Kansas,85,16,Portland St.,61,24
2008,1,5,Michigan St.,72,12,Temple,61,11
2008,1,5,Notre Dame,68,12,George Mason,50,18
2008,1,1,UCLA,70,16,Mississippi Valley St.,29,41
2008,1,8,UNLV,71,9,Kent St.,58,13
2008,1,6,Marquette,74,11,Kentucky,66,8
2008,1,6,Purdue,90,11,Baylor,79,11
2008,1,11,Kansas St.,80,6,Southern California,67,13
2008,0,16,Mount St. Mary's,69,16,Coppin St.,60,9
