Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2018,Villanova ,128.7,94.4,59.5,48.5,15.0,18.2,29.6,27.1,29.4,26.7,77.9,74.7,59.0,49.0,40.1,31.7
2018,Purdue ,123.6,96.1,57.7,47.0,15.8,17.7,28.0,28.0,35.6,24.2,74.3,68.9,54.1,45.5,42.0,33.2
2018,Duke ,122.7,93.3,55.9,46.4,17.5,17.3,38.8,30.0,34.6,22.3,71.0,72.8,56.0,45.4,37.2,32.0
2018,Kansas ,122.5,96.7,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,70.9,71.3,55.6,48.6,40.1,33.3
2018,Xavier ,121.3,97.7,55.9,49.9,17.2,15.7,30.2,23.1,41.0,25.6,77.9,76.0,55.9,49.8,37.2,33.4
2018,Wichita St. ,121.3,103.0,55.1,49.4,16.5,16.3,35.4,22.6,34.8,33.2,73.9,72.6,53.8,46.0,38.1,36.3
2018,West Virginia ,121.2,96.2,50.4,49.9,16.5,23.3,37.0,30.1,31.3,44.1,76.6,71.2,48.8,45.4,35.3,38.0
2018,North Carolina ,121.0,97.4,52.0,50.1,16.7,16.3,37.4,25.5,28.0,26.0,74.3,68.7,51.0,45.3,35.9,38.0
2018,Marquette,120.5,104.1,56.8,53.8,17.3,18.1,27.6,29.6,28.8,38.9,80.5,74.7,52.2,53.8,41.7,35.9
2018,TCU ,119.8,100.8,56.5,52.3,17.8,17.4,34.2,26.1,34.1,30.5,70.6,73.1,55.1,50.1,39.4,37.6
2018,Michigan St. ,119.2,94.7,56.9,42.7,19.2,14.6,37.0,26.6,35.9,30.7,74.6,72.8,55.2,38.4,40.1,33.7
2018,Saint Mary's,119.1,102.8,58.7,49.2,15.4,15.1,28.9,22.8,30.4,24.8,76.9,71.7,57.1,49.5,41.0,32.3
2018,Nevada ,119.1,103.0,54.8,49.4,13.5,18.0,26.7,29.3,36.3,30.1,74.3,70.9,52.1,50.7,39.2,31.7
2018,Seton Hall ,118.2,98.6,52.9,50.3,17.8,17.7,34.3,28.4,35.2,29.8,69.8,72.4,52.0,50.0,36.5,33.8
2018,Gonzaga ,117.6,95.2,57.0,47.1,16.1,17.4,33.0,23.1,32.1,29.1,70.8,71.6,58.2,44.1,36.8,35.0
2018,Davidson ,117.3,102.7,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,79.8,68.5,56.5,50.3,38.9,35.0
2018,Arizona ,117.2,100.7,56.3,49.9,17.5,16.7,33.2,25.1,36.9,31.2,76.1,73.4,56.7,47.7,36.9,35.8
2018,Arkansas ,117.0,100.8,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,68.1,72.7,51.2,48.2,39.5,35.7
2018,Creighton ,116.6,97.7,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,75.0,72.0,58.7,50.0,37.2,33.6
