Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2022,Duke ,122.7,96.0,55.6,47.1,15.0,15.7,31.7,28.9,28.6,19.1,73.8,69.1,56.0,46.6,36.6,32.0
2022,Purdue ,121.6,97.5,56.5,49.1,17.5,14.0,35.2,23.8,38.2,21.6,71.1,72.1,55.8,48.6,38.4,33.2
2022,Iowa ,121.1,97.2,53.3,49.7,13.0,19.2,32.3,30.0,30.0,26.3,74.9,71.1,52.5,49.9,36.3,32.9
2022,Gonzaga ,120.3,89.9,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,71.5,69.9,60.4,41.8,37.0,30.5
2022,Kansas ,119.8,91.3,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,71.7,71.9,53.6,46.4,36.1,29.8
2022,Kentucky ,119.4,95.4,53.1,46.9,16.7,17.5,37.7,24.9,28.0,25.4,72.6,72.1,53.5,47.3,34.7,30.8
2022,Arizona ,118.0,93.7,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24.0,73.9,67.4,57.0,41.8,35.3,32.8
2022,Baylor ,117.8,91.3,52.8,47.8,17.9,22.9,36.3,28.8,29.0,27.7,69.7,70.3,53.6,49.2,34.3,30.2
2022,Villanova ,117.2,93.0,51.5,47.3,15.5,18.4,31.2,28.9,29.8,25.0,83.0,73.4,49.5,48.1,35.9,30.8
2022,Houston ,116.5,88.5,53.1,43.3,16.9,21.7,37.7,28.0,29.0,34.7,66.7,71.7,54.5,43.4,33.8,28.8
2022,Syracuse,116.1,101.4,52.5,50.6,15.4,16.7,29.2,32.1,28.3,23.5,73.7,75.1,49.9,51.6,37.6,33.0
2022,UCLA ,115.8,92.2,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,74.1,72.6,49.5,47.3,35.4,32.1
2022,Davidson ,115.8,101.1,55.6,49.5,14.8,16.7,23.6,22.4,32.5,28.0,75.4,74.1,54.2,48.9,38.5,33.6
2022,Virginia Tech ,115.6,95.2,55.1,49.0,17.0,18.7,27.8,26.2,24.5,25.6,75.1,74.5,52.6,49.3,39.2,32.3
2022,Ohio St. ,115.5,98.5,54.3,47.6,17.1,15.5,29.3,28.7,33.4,29.1,75.7,73.1,54.0,45.8,36.5,33.8
2022,Alabama ,115.2,98.3,51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,72.8,71.5,55.9,49.3,30.9,33.8
2022,North Carolina ,114.4,93.5,51.5,48.6,16.4,13.6,31.9,21.6,30.3,21.4,76.4,72.5,50.1,47.5,35.8,33.7
2022,South Dakota St. ,114.1,103.5,59.2,51.4,15.3,15.8,23.7,24.3,34.6,21.3,75.9,74.3,55.9,50.3,43.7,35.2
2022,Michigan ,113.9,96.2,52.1,49.7,17.3,14.7,31.0,24.0,29.4,25.6,74.6,73.4,52.7,50.4,33.9,32.4
2022,Furman,113.6,102.4,55.6,51.5,15.7,19.1,27.4,28.1,23.3,24.6,75.8,72.9,55.0,52.5,37.5,33.3
2022,Miami FL ,113.6,97.9,53.4,52.5,14.0,20.4,22.4,30.3,28.9,24.8,74.2,67.9,54.8,53.0,33.9,34.5
2022,Connecticut ,113.2,95.9,49.6,46.0,17.3,18.0,37.9,27.6,30.5,31.7,75.3,68.7,48.0,42.6,35.2,35.3
2022,Notre Dame ,112.8,96.7,54.0,49.0,15.6,15.1,22.1,24.7,27.3,22.2,75.4,69.4,51.9,49.6,37.9,32.0
2022,Texas ,112.5,91.5,50.1,47.0,17.8,23.0,31.6,29.8,32.0,39.0,74.6,68.1,50.5,46.6,33.0,31.8
2022,Memphis ,112.4,92.6,52.3,46.6,22.5,20.4,37.4,30.9,37.8,33.2,69.4,69.4,51.9,45.5,35.5,32.0
2022,Missouri St.,112.1,101.8,54.6,48.8,15.5,15.7,25.8,24.0,27.7,28.0,79.9,75.9,54.6,47.8,36.4,33.6
2022,Illinois ,111.9,93.0,52.5,46.0,18.1,15.5,33.1,26.6,32.0,28.2,70.6,71.5,51.4,45.2,35.9,31.9
2022,Colorado St. ,111.9,98.1,54.8,50.1,15.2,18.5,21.9,25.0,29.6,25.6,77.3,71.7,55.7,51.0,35.6,32.7
2022,UAB ,111.8,99.1,52.8,48.4,16.4,21.1,33.3,27.5,29.3,31.3,74.0,70.6,50.8,47.8,38.0,32.9
2022,Auburn ,111.7,90.0,49.9,44.1,16.7,20.0,33.7,28.9,31.6,34.2,73.1,73.3,51.3,42.8,31.8,31.0
2022,Michigan St. ,111.6,96.6,52.0,48.1,18.8,15.3,30.7,27.1,29.9,28.3,75.0,70.8,49.6,48.5,37.8,31.6
2022,Princeton,111.5,105.9,56.7,51.3,14.5,15.5,24.8,23.5,21.3,21.7,64.0,73.4,55.9,51.6,38.4,33.6
2022,Providence ,111.4,95.5,50.0,46.3,17.0,15.6,30.3,27.4,37.0,27.0,72.8,69.6,49.0,47.1,34.4,30.0
2022,Tennessee ,111.3,87.1,50.7,46.4,17.7,22.9,32.4,27.2,29.0,31.5,71.5,71.1,48.5,46.0,35.9,31.3
2022,Massachusetts,110.9,112.8,51.3,55.2,16.6,18.0,29.3,29.7,32.8,29.3,75.8,72.8,48.0,54.7,37.1,37.4
2022,Xavier,110.9,97.2,50.9,48.3,16.7,18.1,29.3,26.1,35.3,25.9,69.8,74.6,52.2,48.3,32.2,32.2
2022,Tulane,110.8,99.4,51.2,49.6,15.0,20.3,20.1,32.8,33.4,28.5,75.6,71.2,49.0,48.3,36.5,34.1
2022,Wake Forest,110.7,95.0,55.6,47.3,19.2,17.6,26.7,26.2,33.6,29.4,73.0,70.3,58.5,46.6,34.5,32.3
2022,Santa Clara,110.6,100.4,54.5,48.5,16.2,16.5,23.4,26.2,27.6,21.2,76.2,76.2,53.5,46.7,37.8,34.8
2022,Oklahoma,110.6,94.1,54.8,49.4,22.0,20.3,25.7,26.2,27.4,26.4,74.7,73.4,56.7,50.3,34.7,31.8
2022,Texas Tech ,110.5,85.4,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,69.8,69.0,54.9,44.5,32.1,31.5
2022,Northern Iowa,110.2,102.1,53.0,53.9,16.2,18.0,20.8,21.8,33.2,22.7,79.0,72.8,53.3,54.4,35.1,35.6
2022,St. John's,110.2,96.7,50.8,48.9,15.9,21.3,30.7,31.5,26.1,33.2,67.7,71.6,51.0,47.5,33.5,34.1
2022,San Francisco ,110.2,93.0,53.1,47.1,17.9,18.4,30.0,24.0,28.5,33.0,69.0,70.9,54.4,48.7,34.3,28.9
2022,Murray St. ,110.0,96.2,52.6,48.1,17.1,20.4,35.3,25.7,32.4,26.0,69.4,67.9,53.2,50.5,34.5,29.7
2022,Florida,109.8,97.0,49.6,49.4,18.5,21.8,31.5,32.5,33.8,30.3,73.5,69.8,53.1,49.9,30.3,32.2
2022,Saint Mary's ,109.8,90.5,52.7,48.3,17.0,19.2,27.4,21.7,23.3,25.1,76.3,72.5,52.5,47.0,35.5,34.3
