Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2009,North Carolina ,123.8,92.7,52.8,46.6,16.6,20.7,39.2,32.2,39.8,25.4,75.6,69.2,51.0,44.7,38.5,33.6
2009,Pittsburgh ,121.4,93.2,52.9,46.5,18.2,19.2,42.5,30.1,33.0,30.2,67.5,70.2,52.8,45.1,35.4,32.9
2009,UCLA ,120.0,95.0,55.7,49.8,19.0,23.9,36.3,31.3,31.2,35.6,72.4,69.6,53.5,48.0,39.9,36.1
2009,Oklahoma ,118.6,94.3,55.2,45.8,20.1,18.3,36.9,31.9,46.5,28.8,67.5,68.8,56.6,43.0,35.1,33.9
2009,Arizona ,118.4,101.7,53.0,51.0,19.4,18.4,35.9,34.4,37.5,25.1,73.8,69.0,51.0,50.0,38.7,34.9
2009,Arizona St. ,118.0,94.6,56.4,47.0,18.6,19.5,29.1,30.0,38.7,30.9,73.7,73.8,57.1,46.5,37.0,31.9
2009,Duke ,117.6,93.3,50.5,47.8,17.6,23.5,37.4,33.2,41.4,31.0,72.8,68.9,49.6,46.7,34.9,33.8
2009,Marquette ,117.3,95.9,51.2,50.9,16.7,21.5,35.0,30.6,45.4,30.1,72.8,67.3,50.7,50.3,34.7,34.7
2009,Missouri ,117.1,91.6,52.7,46.3,16.3,25.1,34.3,34.7,36.6,39.9,67.2,67.4,52.7,46.7,35.2,30.3
2009,Syracuse ,117.1,93.5,54.4,46.7,20.8,19.2,35.9,35.3,39.3,26.2,64.6,63.6,55.4,48.1,34.9,29.6
2009,Gonzaga ,116.9,92.5,55.2,44.2,16.4,21.3,30.8,30.4,35.5,29.5,71.5,68.4,53.3,39.4,39.4,35.2
2009,Oklahoma St. ,116.9,97.8,54.0,50.2,17.0,20.8,28.2,31.2,39.4,41.3,74.8,69.8,51.4,49.4,38.4,34.5
