Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Wisconsin 1,B10,"130.5
1","95.8
37","54.8
16","47.7
110","12.4
1","15.8
332","32.1
123","23.7
2","36.2
193","22.4
1","76.3
12","71.0
264","54.8
9","44.7
61","36.5
79","37.5
306"
Notre Dame 3,ACC,"127.0
2","100.9
112","58.3
1","47.9
115","14.5
3","17.3
272","27.9
277","32.2
233","36.7
174","24.1
5","74.2
27","71.3
277","58.2
1","47.4
155","39.0
20","32.6
80"
Duke 1,ACC,"126.8
3","92.8
11","56.6
4","46.5
69","16.3
32","18.6
201","35.8
32","30.2
124","39.8
98","23.9
2","69.9
153","69.4
180","55.9
4","46.3
110","38.7
25","31.4
40"
Villanova 1,BE,"123.6
4","93.3
14","55.3
13","45.5
36","16.3
33","21.6
28","32.5
115","31.2
173","41.8
58","30.4
39","73.1
48","68.0
99","53.0
22","45.3
81","38.9
21","30.5
20"
Gonzaga 2,WCC,"122.0
5","95.2
30","57.9
2","44.2
14","16.1
28","17.1
285","33.9
83","28.0
44","38.7
122","30.5
42","68.8
195","66.7
51","57.0
2","42.0
7","40.0
9","33.0
96"
Kentucky 1,SEC,"121.8
6","86.1
1","51.5
75","39.6
1","16.3
34","21.3
40","39.5
8","31.8
208","43.9
30","31.7
63","72.6
58","66.0
28","51.2
52","39.1
2","34.9
140","27.1
1"
North Carolina 4,ACC,"121.2
7","94.6
22","51.6
74","45.4
34","18.2
111","17.7
259","40.0
5","31.2
172","35.2
224","37.8
200","70.2
142","70.1
221","50.9
56","45.6
88","35.8
99","30.0
12"
Indiana 10,B10,"121.0
8","105.1
187","54.4
20","50.3
224","17.2
63","15.9
329","35.3
39","31.5
191","32.7
285","32.8
82","71.9
88","67.9
94","50.2
75","50.9
282","40.6
6","32.5
77"
Davidson 10,A10,"120.2
9","104.2
174","55.4
12","49.3
177","14.1
2","17.0
290","29.6
222","30.4
136","28.5
343","34.6
132","69.6
163","63.8
5","53.1
21","51.4
297","38.7
26","30.0
11"
BYU 11,WCC,"120.0
10","102.4
134","53.2
38","49.6
192","16.4
37","17.7
258","33.4
101","28.4
55","42.5
44","39.2
224","76.8
6","69.9
202","50.2
76","49.6
239","39.0
19","33.1
102"
Arizona 2,P12,"119.2
11","89.2
3","53.5
31","45.1
25","16.5
39","20.6
76","34.5
65","22.4
1","47.1
8","37.3
191","71.9
85","69.8
197","53.3
19","42.7
18","36.0
89","33.5
129"
Iowa St. 3,B12,"119.1
12","98.2
63","54.3
24","47.6
100","15.8
18","18.5
207","28.3
271","29.6
109","36.5
180","24.0
4","69.6
159","73.3
339","54.3
11","45.2
76","36.2
85","34.7
192"
Michigan St. 7,B10,"117.9
13","94.8
24","53.2
39","44.9
24","17.5
73","16.5
311","33.5
98","27.0
29","32.7
283","39.0
223","63.2
338","72.2
316","50.8
61","43.8
36","38.5
29","31.5
45"
Baylor 3,B12,"117.7
14","95.0
26","49.8
124","45.8
51","20.1
247","19.3
152","41.9
2","31.5
189","38.6
126","32.1
71","67.0
251","64.6
11","46.1
242","46.4
120","38.2
33","29.8
6"
Xavier 6,BE,"117.4
15","97.4
57","53.3
35","50.0
212","18.1
101","18.8
185","31.3
159","27.3
35","38.5
129","33.3
96","73.0
50","67.7
84","53.7
15","48.9
210","35.1
130","34.6
190"
Northern Iowa 5,MVC,"117.3
16","95.1
28","55.9
9","45.6
41","17.8
88","19.2
154","27.0
298","26.9
28","39.8
97","27.0
11","73.3
45","71.2
269","53.3
18","44.0
44","39.8
10","32.1
64"
Utah 5,P12,"116.5
17","91.0
8","55.2
14","43.0
5","18.2
108","18.3
218","31.3
161","28.4
58","43.4
37","34.3
125","70.5
128","68.2
105","52.3
32","41.4
5","40.1
8","31.2
32"
Murray St.,OVC,"116.3
18","104.1
172","54.3
22","46.8
75","17.1
56","18.7
193","35.9
30","32.5
243","41.2
67","36.6
173","69.5
168","71.7
303","52.6
30","44.9
68","38.3
31","33.7
141"
Wichita St. 7,MVC,"116.1
19","93.7
17","50.3
104","45.8
50","15.0
6","21.3
39","34.5
64","27.4
37","36.2
190","36.6
176","70.5
129","69.5
182","48.9
115","42.6
17","35.4
114","35.3
221"
Vanderbilt,SEC,"115.9
20","101.6
119","54.4
21","46.6
71","20.0
236","18.1
231","31.9
130","33.1
267","42.4
46","34.4
127","71.3
98","69.0
151","51.5
46","44.5
55","39.6
12","34.0
161"
Oregon 8,P12,"115.8
21","101.3
114","52.3
51","48.0
121","16.9
47","16.7
299","30.2
194","31.5
195","29.1
337","35.4
146","76.7
7","69.7
187","50.8
63","47.1
138","36.9
68","33.2
113"
North Carolina St. 8,ACC,"115.6
22","99.1
76","49.3
155","45.5
39","16.0
24","14.9
345","33.9
85","30.2
125","35.3
223","34.7
133","68.8
196","70.4
245","47.3
193","43.6
31","35.6
110","33.0
97"
Ohio St. 10,B10,"115.5
23","95.4
34","54.2
25","46.4
63","17.0
53","21.6
30","33.5
95","32.0
221","34.7
239","27.8
15","68.0
227","70.5
250","53.6
16","45.2
77","37.0
63","32.2
67"
Iowa 7,B10,"115.3
24","94.1
18","48.1
212","45.6
42","17.1
55","18.9
174","35.6
36","30.3
128","38.0
138","29.1
26","74.4
24","69.4
174","47.3
192","43.7
34","33.3
212","32.6
84"
Central Michigan,MAC,"115.3
25","107.2
229","54.5
18","51.7
281","15.1
7","19.7
127","28.8
256","30.9
162","36.6
178","36.2
162","72.7
57","67.6
82","53.7
14","51.7
305","36.9
67","34.4
182"
Arkansas 5,SEC,"115.0
26","98.3
65","50.0
118","48.3
135","16.9
49","22.3
20","35.7
34","34.6
318","37.3
159","38.8
218","72.4
70","71.5
291","48.8
119","46.2
107","34.9
139","35.2
218"
Kansas 2,B12,"114.9
27","92.9
12","49.4
147","44.6
19","19.2
182","17.5
268","34.9
47","31.6
201","42.6
41","33.8
108","72.4
69","67.2
62","46.4
233","43.4
30","37.9
42","31.5
46"
Pittsburgh,ACC,"114.6
28","103.8
161","49.1
172","50.0
213","15.7
16","17.4
270","34.3
70","31.6
202","34.8
236","37.8
201","68.4
213","71.3
284","48.6
130","49.0
213","33.6
199","34.9
205"
Georgetown 4,BE,"114.3
29","96.0
39","51.3
78","47.1
89","19.2
181","20.2
100","34.3
72","31.0
166","43.9
31","44.1
305","70.4
133","71.0
266","50.5
70","43.1
24","35.3
119","36.2
267"
Virginia 2,ACC,"113.9
30","86.4
2","50.6
96","42.3
4","15.7
13","17.9
243","34.3
69","24.2
5","34.9
231","28.6
22","72.6
59","64.6
10","49.7
88","40.1
3","35.2
126","30.8
25"
Stanford,P12,"113.9
31","99.4
83","49.3
165","48.4
145","16.2
29","17.2
277","33.6
91","27.8
41","40.5
82","36.5
172","72.6
60","68.3
112","46.0
251","44.7
65","37.7
47","37.4
300"
Mississippi 11,SEC,"113.7
32","101.4
118","47.8
225","47.6
105","16.5
40","18.7
192","34.8
49","31.4
183","36.1
197","41.2
258","77.3
4","68.5
123","46.8
214","43.6
33","33.2
217","35.8
250"
Toledo,MAC,"113.5
33","105.7
196","52.3
48","49.7
198","18.1
103","16.2
322","33.3
104","29.4
96","41.2
68","31.0
47","74.2
30","70.3
233","51.2
53","51.0
284","36.6
77","31.7
51"
UCLA 11,P12,"113.4
34","98.9
72","49.6
139","48.5
149","17.6
79","17.9
246","33.8
86","28.6
69","35.7
209","32.3
75","67.6
239","69.6
185","47.4
186","45.4
85","36.8
71","35.6
236"
Iona,MAAC,"113.2
35","107.7
239","54.7
17","48.1
128","17.2
65","16.7
300","28.7
260","33.2
275","37.4
156","28.5
20","70.1
145","69.8
198","51.3
51","45.7
92","39.6
13","35.5
229"
William & Mary,CAA,"113.1
36","108.7
258","56.3
6","50.5
230","17.5
76","17.6
262","24.2
330","29.9
119","35.5
217","31.9
68","72.9
52","69.4
175","54.8
8","49.1
220","38.9
24","35.3
220"
