Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Villanova 1,BE,"128.7
1","94.4
15","59.5
1","48.5
55","15.0
13","18.2
183","29.6
140","27.1
96","29.4
286","26.7
32","77.9
10","74.7
328","59.0
3","49.0
139","40.1
10","31.7
14"
Purdue 2,B10,"123.6
2","96.1
34","57.7
6","47.0
19","15.8
30","17.7
220","28.0
197","28.0
144","35.6
106","24.2
8","74.3
66","68.9
43","54.1
40","45.5
22","42.0
2","33.2
67"
Duke 2,ACC,"122.7
3","93.3
7","55.9
19","46.4
12","17.5
122","17.3
246","38.8
1","30.0
236","34.6
134","22.3
1","71.0
190","72.8
260","56.0
15","45.4
17","37.2
69","32.0
24"
Kansas 1,B12,"122.5
4","96.7
42","57.5
8","49.1
76","16.6
56","18.2
184","29.4
145","31.2
286","27.0
329","24.6
11","70.9
195","71.3
169","55.6
20","48.6
117","40.1
11","33.3
76"
Xavier 1,BE,"121.3
5","97.7
55","55.9
18","49.9
119","17.2
85","15.7
315","30.2
124","23.1
15","41.0
24","25.6
17","77.9
11","76.0
347","55.9
17","49.8
165","37.2
71","33.4
85"
Wichita St. 4,Amer,"121.3
6","103.0
143","55.1
25","49.4
94","16.5
44","16.3
296","35.4
10","22.6
8","34.8
132","33.2
173","73.9
77","72.6
246","53.8
45","46.0
32","38.1
43","36.3
246"
West Virginia 5,B12,"121.2
7","96.2
35","50.4
190","49.9
125","16.5
49","23.3
2","37.0
5","30.1
241","31.3
237","44.1
338","76.6
28","71.2
159","48.8
212","45.4
20","35.3
146","38.0
317"
North Carolina 2,ACC,"121.0
8","97.4
50","52.0
125","50.1
135","16.7
59","16.3
297","37.4
3","25.5
46","28.0
314","26.0
23","74.3
64","68.7
36","51.0
138","45.3
16","35.9
116","38.0
315"
Marquette,BE,"120.5
9","104.1
163","56.8
14","53.8
292","17.3
99","18.1
192","27.6
212","29.6
219","28.8
302","38.9
289","80.5
2","74.7
327","52.2
80","53.8
303","41.7
3","35.9
225"
TCU 6,B12,"119.8
10","100.8
96","56.5
15","52.3
241","17.8
131","17.4
239","34.2
24","26.1
62","34.1
153","30.5
107","70.6
206","73.1
274","55.1
27","50.1
180","39.4
21","37.6
303"
Michigan St. 3,B10,"119.2
11","94.7
17","56.9
13","42.7
1","19.2
232","14.6
340","37.0
4","26.6
77","35.9
98","30.7
110","74.6
57","72.8
259","55.2
25","38.4
1","40.1
12","33.7
102"
Saint Mary's,WCC,"119.1
12","102.8
133","58.7
4","49.2
82","15.4
19","15.1
330","28.9
166","22.8
12","30.4
263","24.8
12","76.9
22","71.7
198","57.1
8","49.5
159","41.0
6","32.3
31"
Nevada 7,MWC,"119.1
13","103.0
142","54.8
30","49.4
95","13.5
1","18.0
199","26.7
240","29.3
207","36.3
91","30.1
95","74.3
68","70.9
147","52.1
82","50.7
207","39.2
25","31.7
15"
Seton Hall 8,BE,"118.2
14","98.6
66","52.9
89","50.3
144","17.8
134","17.7
221","34.3
22","28.4
162","35.2
120","29.8
86","69.8
245","72.4
237","52.0
89","50.0
178","36.5
98","33.8
112"
Gonzaga 4,WCC,"117.6
15","95.2
21","57.0
11","47.1
23","16.1
35","17.4
236","33.0
46","23.1
14","32.1
214","29.1
65","70.8
198","71.6
197","58.2
5","44.1
10","36.8
85","35.0
170"
Davidson 12,A10,"117.3
16","102.7
132","57.4
9","51.2
191","14.5
7","16.2
303","22.6
323","23.4
18","24.6
343","29.6
80","79.8
5","68.5
24","56.5
13","50.3
191","38.9
30","35.0
168"
Arizona 4,P12,"117.2
17","100.7
94","56.3
16","49.9
118","17.5
118","16.7
274","33.2
44","25.1
40","36.9
77","31.2
122","76.1
37","73.4
287","56.7
10","47.7
77","36.9
82","35.8
223"
Arkansas 7,SEC,"117.0
18","100.8
97","53.8
64","50.4
148","15.1
16","19.4
106","28.8
173","31.7
299","37.4
69","40.8
310","68.1
295","72.7
256","51.2
129","48.2
98","39.5
18","35.7
213"
Creighton 8,BE,"116.6
19","97.7
57","57.4
10","50.1
131","15.6
22","15.8
313","22.5
326","24.6
30","26.5
333","24.8
13","75.0
52","72.0
214","58.7
4","50.0
176","37.2
70","33.6
96"
Butler 10,BE,"116.4
20","95.7
27","54.0
55","51.9
226","15.7
26","19.5
100","27.6
211","24.6
28","26.1
335","35.3
226","77.6
12","74.3
318","54.3
39","49.5
160","35.7
127","37.3
291"
Iowa,B10,"116.4
21","107.2
226","54.3
42","53.1
274","18.7
192","15.5
324","34.1
27","28.0
141","35.4
115","28.1
47","69.5
258","70.3
107","53.3
54","51.2
226","37.5
53","37.6
304"
Ohio St. 5,B10,"116.3
22","94.6
16","54.1
51","48.7
61","17.1
81","17.9
208","30.2
125","25.2
41","31.1
243","29.5
76","73.1
113","70.2
93","54.7
34","46.1
35","35.3
152","35.1
181"
Kentucky 5,SEC,"116.2
23","96.0
32","51.8
134","46.8
17","18.6
187","16.8
272","35.7
8","31.0
275","44.0
4","32.3
149","69.8
244","69.2
51","51.2
124","48.0
90","35.7
129","30.1
4"
Arizona St. 11,P12,"116.1
24","102.5
130","53.8
62","50.6
160","14.7
10","20.4
53","28.0
201","30.6
262","41.3
19","32.7
163","73.3
106","71.8
206","53.2
57","50.2
187","36.4
99","34.2
127"
North Carolina St. 9,ACC,"116.0
25","101.7
114","53.4
74","51.6
214","16.8
69","20.4
55","33.4
41","32.0
307","34.2
149","33.7
189","69.6
255","70.3
106","52.1
81","53.6
297","37.2
64","31.6
13"
Florida 6,SEC,"115.6
26","94.2
13","50.8
176","48.7
63","14.3
6","20.0
76","28.7
177","30.5
255","32.6
200","32.4
154","71.9
153","73.1
272","47.6
265","46.6
47","37.0
78","35.2
188"
Virginia Tech 8,ACC,"115.5
27","98.9
74","57.7
7","50.4
147","17.0
78","18.6
161","23.9
307","29.4
211","36.5
85","29.4
71","70.9
196","69.7
72","57.3
7","49.2
148","38.8
31","34.7
154"
Penn St.,B10,"115.3
28","93.9
10","52.6
101","48.3
46","17.3
98","19.5
101","31.7
77","28.2
151","31.5
232","32.1
147","70.2
226","70.6
132","49.8
176","46.7
52","38.7
33","34.2
126"
Houston 6,Amer,"115.2
29","94.3
14","53.3
77","45.5
6","17.5
119","19.1
122","33.8
34","25.8
55","32.6
199","41.6
321","71.8
156","70.3
103","50.5
154","43.8
7","38.7
34","32.3
32"
Virginia 1,ACC,"115.0
30","87.1
1","52.7
98","44.3
3","14.0
5","20.9
39","27.0
229","25.6
49","24.5
344","26.2
27","75.4
47","73.2
279","50.1
167","42.8
3","38.3
36","31.0
9"
Vanderbilt,SEC,"114.9
31","106.3
202","51.8
133","52.4
248","17.7
129","14.7
338","28.6
181","27.7
130","36.2
94","36.5
246","74.3
69","72.1
218","50.8
145","50.7
208","35.3
153","37.4
295"
