Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
North Carolina 1,ACC,"122.9
1","91.9
26","53.0
49","48.2
91","18.8
42","21.1
172","42.5
1","29.0
30","38.0
127","25.7
11","75.7
12","66.8
58","52.1
44","47.8
137","37.2
82","32.6
46"
Kansas 1,B12,"121.4
2","85.5
2","56.6
5","44.3
9","19.1
49","22.4
99","37.6
24","29.1
33","36.4
176","31.0
62","70.7
116","68.2
118","55.4
6","41.2
4","39.7
13","32.8
54"
Texas 2,B12,"120.6
3","93.8
41","51.5
106","45.7
22","14.2
1","17.9
317","36.3
51","33.6
208","32.0
276","31.0
63","68.3
189","68.6
146","48.5
162","43.2
18","38.0
52","33.2
68"
Drake 5,MVC,"119.3
4","97.7
96","52.6
60","50.4
195","18.0
22","24.1
40","36.7
36","33.1
178","35.2
211","23.9
6","76.8
8","67.1
70","50.5
84","49.5
211","36.7
97","34.5
131"
Oregon 9,P10,"118.0
5","101.5
163","55.8
8","50.3
191","18.4
31","16.4
339","32.0
202","31.0
96","36.7
164","34.3
127","69.4
159","69.1
168","53.8
13","50.4
249","39.2
23","33.4
73"
Memphis 1,CUSA,"117.0
6","86.1
3","52.7
56","43.4
5","16.6
7","22.5
94","37.8
22","29.6
49","40.4
64","31.7
73","61.4
329","68.0
112","52.9
29","42.6
10","34.9
169","30.2
7"
Pittsburgh 4,BE,"116.2
7","95.9
67","50.8
130","47.9
78","18.2
24","20.9
181","39.3
11","33.9
221","36.1
187","28.6
35","66.5
254","69.4
185","50.8
77","46.8
101","33.8
219","33.4
74"
UCLA 1,P10,"116.2
8","86.8
5","52.2
77","46.5
35","19.1
48","21.8
137","39.2
12","27.2
5","37.3
145","25.6
10","73.6
48","68.5
138","52.4
37","45.4
65","34.4
195","32.9
60"
Baylor 11,B12,"115.9
9","99.6
127","51.9
90","48.3
98","17.2
13","19.4
268","32.0
203","32.9
168","35.9
197","39.5
231","74.1
34","70.6
250","49.6
117","46.5
91","37.3
79","35.1
168"
Duke 2,ACC,"115.8
10","89.9
10","53.6
39","47.6
67","18.3
29","24.7
22","33.9
121","33.7
212","40.9
53","31.9
76","69.7
148","67.2
77","51.7
51","47.0
107","37.7
57","32.9
58"
Xavier 3,A10,"115.5
11","93.4
36","54.6
14","47.1
50","19.8
86","19.6
260","35.8
68","30.1
60","42.4
29","31.4
68","74.9
20","67.7
97","52.2
43","45.2
55","39.1
24","33.6
85"
Arizona 10,P10,"115.5
12","95.5
63","53.9
30","48.7
111","18.6
38","19.0
281","27.8
304","33.4
202","40.4
65","30.4
53","74.5
28","70.5
241","51.2
66","47.5
124","39.6
18","34.5
129"
California,P10,"115.3
13","102.5
184","52.3
69","51.9
252","19.4
62","17.2
331","34.5
105","31.8
125","36.1
190","33.1
99","77.6
4","68.2
115","51.6
55","51.4
278","35.9
133","35.1
169"
Florida,SEC,"115.3
14","98.9
109","55.3
10","50.0
171","18.6
34","19.8
245","35.6
71","30.0
57","31.2
290","29.1
41","70.1
138","65.9
38","55.7
5","49.5
209","36.3
112","34.0
105"
Connecticut 4,BE,"114.9
15","95.0
58","50.6
138","44.2
8","19.4
64","17.3
330","39.5
9","34.2
237","48.1
4","23.5
5","72.0
81","68.0
108","49.5
122","40.5
3","36.1
121","34.8
149"
Michigan St. 5,B10,"114.7
16","92.7
29","52.6
58","46.0
26","21.1
171","18.9
287","39.5
10","31.6
117","33.5
248","33.1
100","73.7
44","67.1
71","51.6
53","45.6
67","37.1
84","31.1
19"
Davidson 10,SC,"114.7
17","91.7
25","54.1
27","49.3
140","17.3
14","24.3
33","32.4
185","28.5
23","26.3
332","37.3
186","72.6
72","63.5
3","54.1
12","47.0
106","36.1
116","35.5
192"
Notre Dame 5,BE,"114.6
18","95.1
60","52.2
74","46.6
39","18.3
27","17.5
325","36.2
53","30.7
84","34.0
238","23.0
4","73.8
40","64.5
11","47.8
196","44.8
43","40.5
6","33.5
78"
Tennessee 2,SEC,"114.6
19","91.6
24","52.4
67","49.1
129","18.2
25","24.7
21","36.2
55","34.6
251","38.0
128","39.6
233","65.7
280","67.4
86","51.5
57","50.3
245","35.8
135","31.2
21"
Kansas St. 11,B12,"114.5
20","93.5
37","49.5
180","48.3
99","20.8
153","22.2
115","42.3
2","30.3
64","37.4
143","38.3
203","69.3
161","65.6
31","50.2
98","44.9
46","32.0
287","37.2
286"
IUPUI,Sum,"114.3
21","103.7
202","57.0
3","50.2
182","18.7
41","22.2
109","33.5
137","34.6
252","36.7
163","33.8
116","78.3
3","69.3
175","54.1
10","49.5
210","41.8
2","34.1
109"
Butler 7,Horz,"114.2
22","94.9
53","54.1
23","48.0
80","16.9
9","22.9
69","29.8
271","32.2
137","36.7
162","32.6
89","73.7
45","66.5
51","51.3
63","48.2
154","38.0
48","31.8
31"
Marquette 6,BE,"114.1
23","91.1
17","50.6
140","46.3
31","18.7
40","23.9
43","38.2
17","33.4
192","37.5
140","41.0
262","70.5
123","67.9
104","49.0
139","46.7
97","35.8
136","30.4
9"
Indiana 8,B10,"114.1
24","94.9
55","52.3
68","47.3
56","20.0
96","19.8
247","36.1
57","29.1
34","41.9
37","31.0
61","75.9
11","65.0
18","52.3
41","45.1
51","34.9
171","34.1
111"
West Virginia 7,BE,"113.8
25","92.7
30","51.4
110","48.0
82","16.4
6","22.8
74","34.4
110","31.2
106","36.6
166","39.7
235","68.7
177","65.5
29","50.1
101","45.2
57","36.0
123","35.8
211"
Saint Joseph's 11,A10,"113.8
26","99.3
118","54.6
15","50.6
203","19.3
56","21.5
156","32.5
179","34.0
232","39.7
86","33.3
104","72.6
73","68.5
139","52.8
31","47.7
133","38.6
34","37.0
274"
Washington St. 4,P10,"113.4
27","89.8
8","53.7
36","46.7
41","17.0
12","21.9
132","27.8
303","29.8
54","38.5
115","28.4
32","72.8
67","72.0
302","53.0
27","45.3
61","36.8
91","33.1
64"
