Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
North Carolina 1,ACC,"124.3
1","96.1
27","52.6
54","48.1
83","15.4
23","18.2
165","40.7
3","30.0
183","32.3
280","30.4
52","74.7
31","69.7
148","53.9
22","44.6
34","32.7
256","36.2
258"
Villanova 2,BE,"124.0
2","92.0
6","56.1
8","46.7
41","16.3
58","20.6
42","28.2
224","29.4
153","34.1
241","30.0
47","78.2
2","66.2
19","57.4
2","44.1
23","36.2
103","33.9
133"
Kentucky 4,SEC,"123.9
3","96.3
30","53.5
40","44.5
6","16.2
53","18.0
179","37.5
14","31.9
275","37.8
140","40.8
266","69.0
209","70.2
189","52.9
29","42.7
11","36.6
75","32.6
64"
Michigan St. 2,B10,"123.4
4","97.1
39","56.3
7","43.3
3","17.6
133","14.2
344","37.1
16","24.3
8","30.0
327","34.1
112","72.9
66","71.4
253","51.4
64","41.7
6","43.4
1","31.0
17"
Indiana 5,B10,"122.1
5","99.5
73","58.7
1","49.8
167","19.6
275","18.9
122","37.2
15","29.2
138","33.9
248","30.2
49","73.1
59","68.1
77","56.1
6","49.0
180","41.6
4","34.3
148"
Iowa St. 4,B12,"122.1
6","100.2
87","57.1
5","49.8
168","15.7
30","16.8
258","26.2
281","30.1
193","26.1
349","24.9
6","70.2
159","68.8
110","56.7
4","49.5
205","38.7
20","33.5
107"
Duke 4,ACC,"121.9
7","100.0
82","53.7
34","49.5
144","14.3
5","17.4
216","33.2
58","34.7
333","40.6
79","25.3
10","72.3
90","68.1
78","51.0
82","48.9
177","38.5
23","34.0
136"
Kansas 1,B12,"121.6
8","91.4
4","55.7
11","45.1
16","17.8
152","18.5
148","32.2
87","27.9
87","38.6
113","37.3
180","71.3
122","72.3
297","52.7
32","43.4
18","41.3
5","32.5
60"
Virginia 1,ACC,"120.8
9","92.1
7","54.8
17","48.4
94","15.1
13","18.8
127","29.9
163","25.2
18","32.1
289","33.4
96","75.2
21","70.2
185","52.6
36","46.3
72","40.3
9","34.7
168"
Miami FL 3,ACC,"120.3
10","97.7
49","54.2
25","48.3
90","16.5
72","17.4
218","30.1
158","29.5
159","40.7
78","29.1
36","74.9
25","71.7
266","53.2
26","46.9
90","37.5
45","34.4
155"
Oregon 1,P12,"119.1
11","97.1
40","52.3
60","48.9
113","16.1
48","20.2
54","34.1
45","30.5
210","40.3
85","32.0
74","71.6
107","70.0
169","52.6
39","46.1
66","34.4
178","36.2
256"
Oklahoma 2,B12,"119.1
12","94.5
17","54.3
22","47.2
55","18.3
195","17.7
199","31.2
123","30.5
212","33.0
269","28.3
30","72.2
92","67.8
62","48.2
199","45.3
47","42.2
2","33.7
114"
