Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Duke 2,ACC,"122.7
1","96.0
53","55.6
12","47.1
48","15.0
18","15.7
314","31.7
62","28.9
216","28.6
232","19.1
2","73.8
106","69.1
51","56.0
9","46.6
48","36.6
38","32.0
79"
Purdue 3,B10,"121.6
2","97.5
86","56.5
5","49.1
131","17.5
115","14.0
348","35.2
13","23.8
32","38.2
15","21.6
10","71.1
192","72.1
195","55.8
13","48.6
130","38.4
7","33.2
148"
Iowa 5,B10,"121.1
3","97.2
80","53.3
41","49.7
163","13.0
3","19.2
121","32.3
50","30.0
256","30.0
182","26.3
77","74.9
71","71.1
143","52.5
67","49.9
177","36.3
45","32.9
128"
Gonzaga 1,WCC,"120.3
4","89.9
9","58.7
2","43.1
1","15.7
35","16.3
295","29.1
146","23.4
24","30.6
160","22.7
21","71.5
176","69.9
84","60.4
2","41.8
1","37.0
29","30.5
35"
Kansas 1,B12,"119.8
5","91.3
13","53.8
30","45.8
22","17.3
107","18.1
187","32.9
40","28.6
202","32.3
112","27.7
105","71.7
170","71.9
185","53.6
39","46.4
44","36.1
51","29.8
19"
Kentucky 2,SEC,"119.4
6","95.4
44","53.1
45","46.9
41","16.7
60","17.5
226","37.7
2","24.9
55","28.0
248","25.4
53","72.6
146","72.1
194","53.5
44","47.3
74","34.7
102","30.8
41"
Arizona 1,P12,"118.0
7","93.7
35","55.6
10","44.4
8","18.3
173","17.4
232","34.7
15","28.6
201","34.9
54","24.0
35","73.9
104","67.4
16","57.0
5","41.8
2","35.3
78","32.8
126"
Baylor 1,B12,"117.8
8","91.3
14","52.8
56","47.8
78","17.9
138","22.9
16","36.3
7","28.8
208","29.0
218","27.7
106","69.7
244","70.3
100","53.6
40","49.2
159","34.3
128","30.2
30"
Villanova 2,BE,"117.2
9","93.0
26","51.5
102","47.3
56","15.5
30","18.4
164","31.2
75","28.9
217","29.8
188","25.0
46","83.0
1","73.4
271","49.5
187","48.1
114","35.9
57","30.8
40"
Houston 5,Amer,"116.5
10","88.5
6","53.1
46","43.3
2","16.9
73","21.7
30","37.7
4","28.0
172","29.0
215","34.7
285","66.7
326","71.7
179","54.5
27","43.4
6","33.8
171","28.8
8"
Syracuse,ACC,"116.1
11","101.4
153","52.5
68","50.6
201","15.4
27","16.7
274","29.2
143","32.1
327","28.3
239","23.5
29","73.7
109","75.1
319","49.9
168","51.6
253","37.6
18","33.0
137"
UCLA 4,P12,"115.8
12","92.2
20","50.6
145","47.6
71","13.2
5","19.4
107","31.3
74","25.3
66","29.5
203","28.3
125","74.1
99","72.6
237","49.5
189","47.3
76","35.4
73","32.1
87"
Davidson 10,A10,"115.8
13","101.1
148","55.6
11","49.5
152","14.8
17","16.7
273","23.6
306","22.4
10","32.5
107","28.0
109","75.4
53","74.1
295","54.2
34","48.9
146","38.5
4","33.6
170"
