Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Gonzaga 3,WCC,"125.2
1","99.7
80","58.5
2","51.7
243","14.6
10","18.8
127","31.1
97","26.0
70","34.2
95","26.7
53","70.2
243","73.5
281","59.0
2","51.2
228","38.4
12","35.0
244"
Baylor 3,B12,"123.1
2","100.8
99","53.1
52","51.4
227","18.1
177","19.9
76","34.7
18","31.1
300","37.2
40","31.4
186","74.9
62","70.7
133","50.8
159","53.3
315","37.2
31","32.2
76"
Iowa 8,B10,"120.6
3","104.7
178","51.9
103","53.3
308","14.1
8","18.5
143","32.2
62","27.6
143","32.6
133","23.4
12","73.9
107","74.4
308","52.1
92","52.6
295","34.3
166","36.6
317"
Arizona 2,P12,"120.5
4","96.5
40","56.8
3","47.2
36","18.4
204","16.9
252","31.1
96","26.2
78","36.5
53","26.0
40","70.9
215","71.4
161","56.6
9","45.9
27","38.2
14","32.8
98"
Toledo,MAC,"120.0
5","109.6
285","56.6
4","52.4
276","13.8
7","18.3
158","29.9
138","31.0
296","35.0
73","27.5
72","77.3
18","74.4
304","54.8
25","51.9
263","39.9
2","35.5
269"
Connecticut 4,BE,"119.8
6","94.1
20","53.5
44","45.5
11","18.9
237","19.4
103","39.2
1","26.2
77","31.4
179","38.7
321","75.4
47","73.6
283","53.4
55","45.8
26","35.7
90","30.0
15"
Purdue 1,B10,"119.5
7","94.2
21","52.2
89","47.2
38","17.0
88","15.4
330","38.3
3","23.3
12","37.2
39","19.3
1","74.3
84","73.6
284","54.1
34","47.4
59","32.6
261","31.4
46"
Xavier 3,BE,"119.2
8","99.7
82","55.6
10","50.4
168","17.5
122","16.5
280","31.8
75","25.4
53","30.8
208","27.1
66","71.4
203","72.4
228","54.0
38","48.7
105","39.5
3","35.9
282"
Marquette 2,BE,"119.1
9","97.2
44","56.0
8","51.1
206","15.2
25","22.8
17","26.5
242","32.1
320","27.1
317","29.0
119","72.1
171","69.8
82","58.8
5","50.0
169","34.8
134","35.2
255"
Missouri 7,SEC,"118.5
10","104.6
174","55.1
17","52.3
274","16.0
47","24.3
5","26.8
234","37.3
363","29.5
243","35.2
277","75.8
42","75.2
335","55.9
13","51.7
248","36.1
70","35.4
265"
Miami FL 5,ACC,"118.4
11","102.7
136","55.0
20","51.3
220","16.4
63","18.1
170","32.0
69","29.0
212","30.0
226","24.1
16","77.6
17","74.5
311","54.9
21","51.8
256","36.8
42","33.6
146"
Houston 1,Amer,"118.3
12","90.0
4","52.7
69","42.5
3","15.3
26","22.0
22","37.1
4","27.4
128","28.5
272","35.8
287","71.9
175","69.0
47","53.2
62","43.1
4","34.5
149","27.8
2"
