West Virginia 9,B12,"117.4
13","97.6
50","51.7
111","50.7
187","18.5
215","20.9
51","33.7
33","29.3
223","39.7
20","38.5
317","74.1
91","72.7
240","51.3
128","50.5
191","34.8
135","34.1
186"
Utah St. 10,MWC,"117.1
14","98.5
63","55.6
11","47.8
56","17.4
116","15.8
313","27.4
219","24.8
37","35.5
66","30.2
152","76.7
30","74.2
299","54.1
36","45.9
28","38.5
10","34.3
203"
Alabama 1,SEC,"117.0
15","89.4
3","52.7
67","41.5
1","19.0
242","16.0
304","33.8
27","27.6
140","36.7
50","32.8
223","72.6
143","71.4
160","54.6
28","41.2
1","33.8
186","28.1
3"
Penn St. 10,B10,"116.9
16","101.9
118","55.5
13","49.2
107","13.7
6","13.1
362","18.8
361","25.1
45","21.4
362","25.9
39","73.8
108","70.4
110","53.5
52","48.8
107","38.5
11","33.3
132"
Kentucky 6,SEC,"116.8
17","99.3
75","51.2
148","48.8
92","17.3
106","16.8
258","38.7
2","25.5
57","32.5
135","29.9
147","70.3
234","74.4
309","50.4
181","48.3
89","35.4
104","33.1
114"
New Mexico,MWC,"116.0
18","102.2
122","53.0
55","50.4
169","15.7
35","17.6
207","28.3
190","27.3
123","39.5
23","29.0
117","74.4
82","70.4
108","52.7
73","50.8
205","35.9
83","33.2
124"
Texas 2,B12,"115.9
19","92.4
10","52.7
65","47.8
57","16.5
65","22.8
18","28.3
193","29.4
229","31.5
175","34.5
257","75.2
52","72.4
223","53.8
43","47.2
53","33.9
178","32.7
96"
Providence 11,BE,"115.7
20","102.3
123","51.5
125","50.0
147","16.9
83","16.9
248","35.2
14","26.7
97","36.8
49","25.5
31","74.5
75","74.4
305","50.9
152","49.6
157","35.1
119","33.9
169"
Vanderbilt,SEC,"115.6
21","104.3
170","50.1
207","49.2
109","16.0
46","15.0
339","31.0
99","31.7
311","32.3
143","31.7
200","71.2
208","69.6
74","49.2
230","50.4
188","34.2
169","31.4
45"
Memphis 8,Amer,"115.6
22","95.3
31","53.2
49","46.8
27","18.4
210","20.9
50","31.0
100","32.3
323","35.9
59","34.9
267","74.7
66","73.9
292","53.1
65","47.2
55","35.6
94","30.8
27"
Ohio St.,B10,"115.5
23","101.4
108","52.0
97","48.9
97","16.1
48","15.9
307","31.5
88","28.6
187","26.6
325","28.1
96","73.9
105","72.3
216","50.6
167","49.3
146","36.8
44","32.1
71"
Texas A&M 7,SEC,"115.1
24","95.0
28","49.0
255","47.9
65","18.3
200","21.1
40","36.7
6","30.4
270","45.9
2","35.1
273","75.9
40","70.4
107","49.0
240","47.4
62","32.8
239","32.3
82"
Creighton 6,BE,"114.7
25","94.0
18","54.3
27","47.3
40","16.6
67","14.3
355","25.5
269","23.3
14","28.1
288","19.8
2","76.7
29","72.9
249","54.5
30","45.6
20","36.0
81","34.1
185"
Stanford,P12,"114.6
26","103.8
162","52.4
82","51.5
233","18.9
238","18.3
164","31.2
95","26.4
83","29.4
246","28.6
108","69.4
275","73.1
265","51.1
137","50.4
186","36.3
63","35.4
264"
Oregon,P12,"114.4
27","99.8
84","51.1
159","48.4
81","18.2
182","16.5
284","32.8
51","25.9
67","31.2
187","24.7
22","70.9
216","76.3
353","53.3
61","46.0
29","31.9
298","35.0
250"
North Carolina St. 11,ACC,"114.1
28","100.1
85","51.8
106","49.8
135","13.6
4","19.1
116","30.7
110","26.6
92","25.3
340","34.0
254","72.0
173","73.4
275","51.5
113","50.6
199","34.9
129","32.2
78"
Pittsburgh 11,ACC,"113.9
29","103.9
163","53.2
51","49.2
108","16.4
62","16.7
262","30.4
121","28.2
169","32.4
141","30.6
164","76.1
38","71.0
146","52.7
74","48.6
99","36.0
78","33.4
137"
Furman 13,SC,"113.8
30","105.0
181","55.6
12","50.6
179","15.8
39","18.4
150","29.6
151","27.1
115","34.7
79","31.8
205","73.5
123","70.8
137","59.1
1","51.2
227","34.4
160","33.1
116"
Virginia Tech,ACC,"113.8
31","103.2
148","54.2
31","50.6
180","14.8
15","16.3
293","26.1
252","27.4
132","26.4
327","24.9
25","73.5
122","70.4
111","54.1
35","50.4
184","36.2
68","34.1
184"
Kansas 1,B12,"113.8
32","92.4
11","52.4
77","47.1
34","17.5
127","20.2
68","28.4
189","28.3
177","29.8
230","31.2
181","71.7
185","72.3
220","52.9
69","47.2
56","34.4
158","31.2
38"
UCLA 2,P12,"113.6
33","88.5
2","50.9
165","46.8
28","15.3
27","23.6
11","33.7
32","27.6
141","27.1
316","27.6
76","72.2
163","69.7
77","50.4
180","46.8
45","34.7
141","31.1
34"
Indiana 4,B10,"113.6
34","97.4
46","53.8
35","47.3
41","16.9
84","16.3
294","28.0
199","27.9
158","30.1
220","30.6
165","71.2
207","70.5
119","53.2
63","45.7
24","37.0
35","33.2
121"
Oral Roberts 12,Sum,"113.5
35","101.5
112","56.1
7","48.5
84","13.2
1","17.6
205","24.5
300","27.4
135","24.6
344","22.0
6","78.4
10","71.9
187","56.6
10","46.6
38","37.0
34","34.2
197"
Maryland 8,B10,"113.2
36","96.5
39","51.1
153","47.9
63","16.2
49","18.4
151","30.2
128","27.2
118","33.8
102","27.8
84","73.9
103","72.7
241","52.0
93","47.7
67","33.0
221","32.1
73"
Saint Mary's 5,WCC,"113.2
37","90.6
5","52.5
72","46.7
26","16.4
60","19.0
121","33.1
45","21.8
2","31.2
186","30.3
156","69.1
282","75.2
338","51.0
146","45.6
22","36.7
45","32.8
99"
Auburn 9,SEC,"113.1
38","94.8
27","49.6
224","45.6
12","18.1
178","19.3
107","33.3
43","32.0
318","35.5
65","39.1
331","70.2
242","70.5
120","51.0
143","46.9
48","31.4
313","28.8
5"
San Diego St. 5,MWC,"113.0
39","90.6
6","50.1
209","47.5
48","17.6
137","19.6
89","31.7
80","25.8
64","34.3
91","29.4
127","73.6
118","73.6
285","49.4
219","49.9
168","34.4
159","29.2
8"
Michigan St. 7,B10,"113.0
40","96.5
38","51.6
120","48.1
71","16.4
61","14.7
346","27.4
218","25.2
48","25.8
335","28.6
109","76.2
36","72.1
202","47.7
279","48.6
102","39.5
4","31.5
48"
Duke 5,ACC,"112.8
41","94.3
22","51.1
156","46.3
21","18.2
181","16.6
276","36.2
8","25.9
66","30.8
204","24.1
15","77.0
24","76.5
355","51.4
119","46.7
42","33.6
196","30.4
20"
Florida Atlantic 9,CUSA,"112.8
42","96.5
37","55.0
19","45.9
14","16.7
71","18.3
161","30.4
120","24.5
26","29.5
240","26.7
56","71.8
177","74.9
329","54.3
32","44.8
11","37.2
32","32.0
68"
Villanova,BE,"112.6
43","100.5
94","52.0
92","50.8
194","15.6
31","17.2
231","22.6
338","25.3
52","30.7
213","27.5
73","82.1
1","78.2
361","52.9
70","51.0
216","34.0
175","33.7
156"
USC 10,P12,"112.6
44","98.1
59","51.3
143","45.2
9","18.1
179","18.1
172","29.0
163","33.0
339","33.8
99","29.8
143","74.4
79","71.9
189","51.1
136","42.4
2","34.5
154","33.4
139"
Colgate 15,Pat,"112.5
45","106.2
206","58.6
1","51.9
257","14.9
16","17.6
206","24.9
289","24.1
22","27.6
302","20.3
3","66.2
332","68.6
38","57.1
7","51.5
239","40.9
1","34.9
234"
Louisiana Lafayette 13,SB,"112.4
46","102.8
141","53.0
56","50.6
181","17.5
123","18.1
171","33.8
28","26.4
82","37.7
36","33.8
245","67.2
320","70.5
122","52.2
88","49.2
139","36.6
48","35.9
283"
Tennessee 4,SEC,"112.4
47","88.2
1","50.3
195","42.4
2","18.1
168","22.2
21","36.8
5","26.9
107","30.9
199","34.9
269","71.4
201","72.2
212","51.0
142","44.6
9","32.9
227","26.2
1"
Cincinnati,Amer,"112.4
48","97.8
54","51.7
114","47.7
54","15.1
19","17.1
236","30.2
129","27.5
138","25.8
334","29.3
125","70.0
252","74.4
310","50.7
163","47.8
74","35.5
103","31.5
49"
Arkansas 8,SEC,"112.4
49","93.3
13","52.0
100","46.5
23","18.3
195","20.4
64","30.5
117","28.2
168","38.8
27","38.9
327","69.0
286","71.4
162","53.8
42","46.9
47","31.7
303","30.6
26"
Stetson,ASun,"112.3
50","112.4
331","54.1
32","53.3
307","15.8
40","14.5
349","28.7
175","28.3
176","25.5
338","29.5
134","77.0
26","73.8
291","51.1
138","52.7
301","38.6
8","36.2
290"
,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
TCU 6,B12,"112.3
51","94.6
25","50.2
199","47.8
60","17.1
96","21.9
25","32.4
59","30.7
286","33.9
97","29.7
140","70.1
249","71.1
153","51.9
94","49.1
133","30.6
338","30.4
21"
UAB,CUSA,"112.3
52","99.0
72","50.8
172","47.9
64","17.4
118","19.5
96","35.7
12","28.8
198","36.6
51","30.7
167","73.2
128","72.3
218","49.0
241","47.0
51","36.5
53","32.9
102"
Michigan,B10,"112.0
53","98.0
58","51.2
147","47.8
58","14.8
12","14.8
344","25.4
273","26.1
76","30.8
207","26.2
44","70.3
233","69.7
78","50.8
158","47.8
72","34.6
148","31.9
64"
Wake Forest,ACC,"112.0
54","102.5
132","54.2
29","51.6
236","17.1
93","17.3
228","24.8
295","26.6
95","32.1
157","26.7
55","74.6
72","71.9
188","54.0
37","51.0
215","36.4
59","35.0
246"
Grand Canyon 14,WAC,"112.0
55","106.9
224","52.9
61","47.2
37","18.4
208","15.0
340","30.5
116","30.3
265","37.8
35","33.2
232","71.5
195","70.0
89","50.5
172","46.8
44","37.6
23","32.0
67"
Liberty,ASun,"111.7
56","97.6
49","55.8
9","49.5
120","16.0
42","19.4
99","25.8
262","20.1
1","25.8
336","27.8
86","72.3
155","72.8
246","56.7
8","47.6
65","36.5
54","35.1
252"
Colorado St.,MWC,"111.7
57","104.8
179","54.8
24","52.2
271","16.7
73","17.9
182","19.6
356","27.1
117","29.8
233","29.6
138","74.2
87","74.4
306","55.8
14","51.0
214","35.5
102","35.8
280"
Kansas St. 3,B12,"111.6
58","93.7
15","51.5
128","47.5
46","20.0
302","20.7
55","31.1
98","29.2
221","37.0
44","36.7
298","75.0
58","69.2
53","51.8
99","48.8
109","34.0
174","30.1
17"
Washington St.,P12,"111.5
59","97.9
55","50.4
192","49.6
127","18.5
211","16.5
285","31.8
76","25.9
68","28.2
282","28.5
106","71.8
179","68.7
40","46.6
311","50.4
189","36.9
40","31.9
62"
North Carolina,ACC,"111.2
60","96.8
43","49.2
247","48.7
91","15.2
23","14.9
341","30.4
119","23.3
13","37.0
45","26.3
46","74.2
86","70.8
136","50.8
160","48.4
91","31.1
328","33.0
113"
Texas Tech,B12,"111.2
61","98.0
57","52.3
85","48.9
96","19.9
294","19.9
77","32.1
67","30.1
256","34.8
76","28.4
101","72.2
164","71.1
152","52.6
76","49.1
132","34.5
153","32.4
85"
Santa Clara,WCC,"111.2
62","100.2
88","52.5
73","50.8
193","17.1
90","16.5
279","30.2
127","24.5
27","30.9
200","25.8
35","70.3
235","73.0
259","50.5
177","48.6
100","37.4
25","36.2
292"
Saint Louis,A10,"111.0
63","103.5
153","52.1
91","48.3
78","17.3
107","15.3
333","29.7
149","26.5
85","29.1
257","32.7
222","72.5
147","72.1
204","51.8
102","46.6
39","35.2
109","34.0
179"
UC Santa Barbara 14,BW,"111.0
64","106.1
204","54.2
28","49.8
134","16.8
76","18.7
130","26.6
236","26.1
75","34.9
75","29.2
120","73.7
112","75.2
336","54.8
24","48.9
114","35.1
113","34.5
216"
Clemson,ACC,"110.9
65","98.0
56","54.4
26","47.4
44","16.3
54","16.6
272","23.5
322","24.5
29","30.7
211","30.8
170","79.0
7","73.1
261","53.6
49","45.8
25","36.9
39","33.2
122"
Belmont,MVC,"110.8
66","106.4
215","55.3
14","51.1
207","16.8
78","17.7
195","25.4
276","30.0
253","24.3
347","29.3
126","72.5
150","66.4
10","53.2
64","49.8
165","38.9
5","35.6
272"
Eastern Washington,BSky,"110.7
67","107.5
242","56.5
5","49.9
142","19.9
290","15.9
311","28.1
197","25.9
69","32.1
156","29.6
137","75.3
50","75.7
345","58.8
4","50.7
203","35.7
93","32.5
87"
Drake 12,MVC,"110.7
68","96.7
42","53.1
54","47.3
42","15.5
29","17.7
193","24.3
309","22.4
3","28.8
267","26.7
57","77.1
20","69.9
86","51.9
95","47.5
63","36.7
46","31.2
35"
Youngstown St.,Horz,"110.6
69","109.8
289","55.1
18","51.7
244","15.7
36","18.0
173","30.8
105","28.6
188","29.6
238","26.4
48","77.8
14","70.6
125","55.2
19","51.7
249","36.5
55","34.5
215"
Virginia 4,ACC,"110.5
70","94.6
26","51.3
137","48.3
79","13.7
5","19.7
81","25.5
270","25.0
39","34.5
84","26.1
42","70.1
247","74.8
325","50.4
183","46.5
35","35.3
105","34.0
178"
Indiana St.,MVC,"110.4
71","101.5
111","56.4
6","48.2
73","16.7
69","17.5
215","21.7
343","22.7
8","31.9
165","31.4
188","76.8
27","73.2
268","58.8
3","48.5
94","35.7
91","31.8
58"
Dayton,A10,"110.4
72","98.5
66","53.0
59","45.0
7","18.8
231","16.1
301","30.7
108","27.0
112","35.5
64","23.9
14","69.9
255","70.5
121","54.3
31","45.7
23","33.8
185","29.3
10"
Vermont 15,AE,"110.3
73","102.8
139","54.9
21","50.7
185","14.2
9","16.8
256","19.3
358","22.5
6","28.4
276","26.9
62","70.3
237","72.4
229","55.5
16","50.0
170","36.2
67","34.6
220"
Cornell,Ivy,"110.3
74","110.2
293","54.8
23","55.7
355","16.7
75","21.9
24","28.8
173","29.0
213","28.5
274","30.9
174","71.6
194","71.8
182","57.5
6","56.6
358","34.5
150","36.2
294"
Boise St. 10,MWC,"110.3
75","94.4
23","51.9
105","47.3
43","16.7
70","17.7
194","26.4
248","23.8
16","30.7
210","27.4
70","73.9
104","69.3
57","50.7
162","47.8
73","36.0
77","31.0
31"
College of Charleston 12,CAA,"110.3
76","98.8
68","51.5
127","47.9
62","16.7
72","19.3
105","35.1
17","25.5
58","32.7
132","24.7
21","74.3
85","68.0
28","52.9
68","49.1
130","33.3
208","30.3
19"
Nevada 11,MWC,"110.2
77","97.5
48","50.5
185","49.0
100","15.2
24","18.7
129","22.9
333","25.1
44","39.5
21","31.4
185","79.2
5","73.7
287","50.3
187","49.3
147","33.8
181","32.5
88"
Portland,WCC,"110.2
78","108.5
265","53.8
37","54.5
336","18.0
163","16.9
249","24.1
314","30.2
262","43.3
6","27.7
78","74.5
78","67.9
27","51.8
105","53.2
310","37.4
24","37.4
339"
Oklahoma,B12,"110.1
79","96.6
41","52.4
78","48.0
70","20.0
300","15.5
329","23.7
320","27.2
120","30.1
222","30.1
150","73.5
120","70.3
104","52.2
85","48.5
95","35.1
121","31.2
37"
Marshall,SB,"110.1
80","101.1
103","52.6
71","47.7
53","15.5
30","20.1
72","31.7
79","32.6
328","26.2
328","28.0
92","69.8
262","63.9
1","53.9
39","47.7
66","33.6
192","31.9
65"
Illinois 9,B10,"110.1
81","96.2
36","51.6
119","46.9
30","18.2
183","18.6
139","32.3
60","26.8
103","33.8
100","29.6
136","68.0
306","70.2
101","55.3
17","45.3
16","30.9
331","33.6
150"
Iona 13,MAAC,"110.0
82","98.5
65","51.8
108","45.9
15","15.3
28","20.9
47","32.0
71","30.5
273","29.0
261","31.2
183","73.1
131","70.2
96","50.8
156","47.0
50","36.0
75","29.2
7"
San Francisco,WCC,"109.9
83","102.3
124","53.6
41","49.9
143","19.6
275","17.6
212","28.5
185","26.5
88","32.2
148","38.1
316","74.6
71","76.8
358","52.6
77","49.4
150","36.4
58","33.8
160"
Ohio,MAC,"109.9
84","107.4
238","52.4
76","51.6
238","16.2
52","17.6
209","32.8
52","28.9
204","27.5
304","33.9
249","73.7
114","68.7
39","50.1
192","51.9
265","37.3
27","34.1
183"
Penn,Ivy,"109.9
85","105.3
192","53.3
48","49.3
113","18.9
239","14.9
343","30.1
132","27.9
156","29.5
242","31.2
182","74.1
90","68.4
32","52.7
72","49.1
131","36.2
69","33.0
108"
San Jose St.,MWC,"109.8
86","102.1
121","50.4
194","48.7
89","18.8
230","13.2
361","34.4
21","24.3
24","27.4
307","28.9
114","67.3
319","77.7
360","51.2
135","46.8
43","32.8
246","34.7
229"
Iowa St. 6,B12,"109.8
87","91.6
8","50.7
179","50.1
149","19.8
285","25.1
2","33.9
26","26.6
91","27.8
296","40.0
338","67.4
316","71.9
193","50.7
166","49.6
158","33.9
177","33.8
163"
Southern Utah,WAC,"109.7
88","104.7
176","51.7
116","52.5
285","18.6
218","18.0
178","28.0
200","25.4
54","41.3
13","32.9
226","73.4
125","72.0
196","51.5
118","51.2
230","34.7
144","36.6
316"
Detroit,Horz,"109.7
89","113.9
342","51.4
134","53.6
315","17.6
140","17.1
240","35.8
10","29.7
237","27.2
315","28.9
115","77.2
19","75.7
344","46.4
320","52.6
300","38.7
7","36.8
322"
San Diego,WCC,"109.6
90","113.0
334","51.1
154","58.2
363","16.0
44","17.3
225","27.9
206","29.7
239","30.9
203","33.4
238","76.8
28","67.1
16","50.4
186","55.9
351","34.8
138","41.0
363"
Tulane,Amer,"109.6
91","102.5
130","52.4
75","50.4
170","15.1
21","19.3
104","19.3
359","30.5
281","35.4
68","29.6
135","77.7
15","69.9
85","53.4
59","48.2
84","33.8
180","35.7
276"
UCF,Amer,"109.5
92","97.5
47","50.6
181","48.2
75","19.4
263","21.6
29","33.9
25","31.0
294","29.7
234","33.4
240","77.1
21","72.8
244","48.1
265","49.0
128","35.9
82","31.3
41"
George Washington,A10,"109.3
93","111.2
313","53.0
58","52.0
265","17.6
141","15.5
327","26.5
241","29.7
240","34.5
88","27.7
80","74.6
73","70.6
126","56.0
12","51.7
247","32.1
282","34.9
240"
Hofstra,CAA,"109.3
94","99.7
81","55.2
15","46.2
19","15.7
38","18.5
144","23.0
329","31.3
304","21.4
361","25.2
27","74.1
88","69.8
81","55.2
18","46.1
30","36.8
41","30.9
29"
Akron,MAC,"109.3
95","103.1
144","51.9
102","49.7
132","16.6
68","17.8
187","29.8
144","26.5
84","33.7
104","28.0
90","75.5
46","74.5
313","51.5
117","48.1
82","35.0
124","35.0
247"
Syracuse,ACC,"109.1
96","106.2
205","51.6
122","51.2
214","17.0
89","18.7
131","30.0
136","33.6
347","30.7
214","21.7
4","74.9
61","70.2
95","50.5
174","50.9
210","36.1
71","34.4
211"
North Texas,CUSA,"108.9
97","95.5
32","51.1
157","45.3
10","19.9
291","20.2
69","33.8
31","27.5
137","32.2
146","41.2
343","76.3
32","69.8
80","49.3
223","45.1
14","35.7
89","30.6
25"
Princeton 15,Ivy,"108.8
98","103.0
143","52.5
74","48.0
69","16.9
81","14.5
350","28.4
188","22.8
9","32.2
147","29.3
122","71.3
205","68.9
45","53.5
51","47.2
54","34.0
176","33.1
117"
Yale,Ivy,"108.8
99","98.9
69","53.3
47","46.9
29","16.5
64","18.3
160","28.0
202","23.1
11","31.1
192","33.3
235","70.1
246","70.3
105","53.1
66","45.5
19","35.8
86","32.7
93"
BYU,WCC,"108.8
100","98.1
60","51.5
123","49.5
121","20.2
306","18.5
148","31.8
77","24.1
20","32.5
136","37.8
311","72.5
148","69.1
51","53.1
67","48.8
108","32.7
250","33.7
158"
,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
North Florida,ASun,"108.8
101","113.7
341","53.3
46","52.4
277","17.3
114","14.0
357","26.2
250","32.9
338","28.4
277","23.5
13","72.0
174","73.4
276","52.1
91","52.1
275","36.4
61","35.5
270"
Wichita St.,Amer,"108.7
102","99.2
73","50.7
180","47.5
47","18.2
186","16.9
250","29.1
161","28.2
170","30.8
206","25.9
38","71.6
187","71.5
166","53.3
60","45.4
17","30.9
333","33.6
151"
Notre Dame,ACC,"108.7
103","106.8
223","52.0
94","52.1
269","13.4
2","13.6
360","19.6
355","26.5
90","23.3
357","26.5
52","76.3
35","74.5
312","50.6
169","52.4
287","35.8
87","34.3
206"
Northwestern 7,B10,"108.7
104","93.6
14","47.2
319","48.4
83","14.8
14","21.7
27","28.3
191","27.3
124","29.7
235","31.6
195","75.1
54","67.7
24","46.5
317","46.6
40","32.1
276","33.9
172"
South Alabama,SB,"108.5
105","99.7
83","52.8
64","46.6
25","14.6
11","16.1
299","20.9
349","28.4
182","22.3
360","28.3
100","69.2
281","71.9
191","53.4
54","47.9
75","34.5
155","29.0
6"
Loyola Marymount,WCC,"108.4
106","104.1
165","53.1
53","51.8
249","18.3
192","16.2
298","30.2
130","24.6
31","31.6
173","34.9
268","67.0
323","73.0
260","51.9
97","52.0
267","36.5
56","34.3
204"
Samford,SC,"108.2
107","105.9
202","53.6
40","51.9
258","17.9
155","19.8
79","28.2
196","27.0
113","41.0
14","37.6
309","75.1
55","70.8
135","52.6
78","49.0
123","36.5
51","37.0
330"
Wofford,SC,"108.2
108","114.1
343","52.4
80","54.8
342","16.3
56","16.6
273","28.6
181","28.7
195","30.0
228","26.4
47","73.2
130","73.6
286","55.1
20","56.1
352","32.1
280","35.3
262"
Towson,CAA,"108.1
109","104.4
171","51.1
158","48.6
85","18.4
205","17.7
199","35.7
11","26.7
96","29.8
231","29.5
133","70.8
220","75.0
333","49.0
242","47.7
70","36.7
47","33.2
123"
Montana,BSky,"108.1
110","107.5
245","53.8
36","51.2
212","17.3
105","15.9
308","24.4
307","25.1
43","29.1
258","37.9
312","78.9
8","77.3
359","52.4
80","52.5
290","37.3
28","32.5
86"
Duquesne,A10,"108.0
111","102.4
128","51.0
164","50.2
157","17.2
102","20.9
48","33.4
36","33.2
342","26.6
326","35.1
274","68.8
291","69.3
63","48.6
250","48.8
112","36.5
50","35.3
258"
UMass Lowell,AE,"108.0
112","103.6
157","53.5
43","47.0
31","20.0
299","19.7
88","35.7
13","27.0
111","33.8
101","33.9
247","74.0
95","72.9
250","52.2
86","44.9
12","37.7
20","34.2
195"
Utah Tech,WAC,"107.8
113","105.4
197","53.2
50","53.8
319","21.4
340","20.0
75","28.7
177","26.8
105","44.8
4","35.0
271","70.3
240","73.4
278","50.9
155","53.3
314","37.6
21","36.5
311"
Temple,Amer,"107.8
114","101.0
102","49.7
221","48.7
90","19.8
287","16.5
286","28.7
176","29.0
214","34.6
82","31.5
190","75.7
44","69.9
87","49.9
202","47.9
76","33.0
226","33.6
147"
Kent St. 13,MAC,"107.8
115","97.3
45","51.3
135","47.2
39","16.3
59","22.6
20","30.9
104","30.2
260","32.0
163","38.8
325","72.3
156","72.4
225","52.2
84","47.8
71","33.2
215","30.9
30"
Pacific,WCC,"107.7
116","107.1
231","52.6
70","54.0
324","16.2
53","17.9
181","22.9
334","31.2
302","33.1
116","36.4
293","72.7
141","67.2
17","49.6
214","55.1
346","38.3
13","34.9
235"
Oklahoma St.,B12,"107.7
117","92.6
12","49.3
241","45.9
17","20.7
321","19.1
119","31.9
73","28.3
175","32.9
123","31.5
191","69.4
274","74.8
327","51.0
144","44.7
10","31.1
326","31.8
61"
Chattanooga,SC,"107.7
118","107.8
249","54.0
33","50.9
200","17.5
124","15.3
334","27.3
222","26.7
100","32.0
164","30.2
153","71.6
191","76.7
357","51.8
103","50.6
197","37.3
29","34.2
196"
UNLV,MWC,"107.7
119","99.2
74","49.2
252","52.4
281","17.5
133","24.7
4","27.9
204","31.0
297","35.5
67","31.0
177","72.9
135","73.5
280","47.9
274","50.9
212","34.1
171","36.1
289"
Winthrop,BSth,"107.7
120","114.6
348","55.1
16","54.8
341","20.6
319","17.4
223","25.9
258","34.2
353","41.6
10","31.0
175","74.7
68","64.2
3","53.8
46","55.5
349","37.9
18","35.8
278"
St. John's,BE,"107.6
121","98.6
67","49.4
234","50.2
159","18.7
224","19.7
84","34.0
24","27.6
139","27.7
299","29.6
139","69.9
256","72.0
199","49.3
226","49.2
140","33.1
219","34.5
218"
Wyoming,MWC,"107.6
122","105.3
194","51.6
118","53.4
311","18.2
180","16.4
291","24.2
312","25.3
50","33.4
112","28.9
113","71.3
206","78.9
362","51.3
130","52.6
297","34.7
145","36.4
304"
Ball St.,MAC,"107.6
123","107.5
243","53.0
57","51.0
203","17.8
149","16.7
263","30.5
113","28.4
180","42.3
8","31.3
184","68.8
289","73.1
266","51.7
110","47.7
68","36.9
38","38.4
351"
Davidson,A10,"107.4
124","104.1
166","50.1
205","50.8
197","16.2
51","17.3
226","24.9
290","27.8
150","32.8
129","26.7
54","75.0
59","70.5
116","51.3
127","51.5
240","31.9
295","33.0
112"
Utah,P12,"107.3
125","95.7
34","48.9
264","45.0
8","18.0
161","15.2
336","31.3
91","27.4
129","29.2
252","24.4
19","70.8
219","66.2
7","48.4
255","44.9
13","33.3
213","30.2
18"
UC Irvine,BW,"107.2
126","99.3
76","52.3
83","45.7
13","17.6
139","17.5
216","26.9
231","26.2
79","30.1
219","36.6
296","72.8
139","73.3
271","50.0
195","44.4
7","38.0
16","32.1
70"
