Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Gonzaga 1,WCC,"124.4
1","91.0
8","59.0
1","44.2
7","14.9
14","19.0
136","31.5
76","26.8
108","35.3
103","25.9
20","76.1
18","69.7
114","61.4
1","43.4
6","36.3
78","30.4
20"
Virginia 1,ACC,"123.8
2","91.1
9","55.2
19","44.7
8","14.7
11","17.5
235","30.4
101","25.4
50","29.1
277","26.3
22","74.4
52","66.6
19","52.5
74","45.7
22","39.5
8","28.9
3"
Tennessee 2,SEC,"123.5
3","96.5
42","55.3
18","48.1
48","15.8
25","18.0
204","31.6
72","30.2
261","33.3
176","34.9
232","75.8
24","65.5
7","55.4
22","44.7
14","36.7
62","35.4
235"
Purdue 3,B10,"123.5
4","95.6
31","53.6
54","49.0
95","15.8
24","18.6
157","34.5
20","27.0
115","29.9
265","31.7
145","71.9
133","73.2
300","51.5
108","47.2
57","37.4
44","34.2
161"
Auburn 5,SEC,"122.0
5","96.4
39","54.4
32","51.7
216","16.8
65","24.6
2","31.6
73","32.8
326","30.9
240","36.4
265","71.3
158","71.0
189","51.7
102","51.4
232","38.1
21","34.8
200"
North Carolina 1,ACC,"120.8
6","92.6
14","52.9
80","48.9
90","17.2
80","18.3
178","35.3
16","22.8
7","30.2
258","28.4
64","74.3
59","67.9
41","52.1
91","47.9
73","36.2
83","33.5
117"
Michigan St. 2,B10,"120.6
7","92.3
13","55.2
20","43.9
4","18.5
171","14.9
343","33.9
26","26.4
91","33.6
166","27.5
41","75.3
30","67.9
40","54.3
38","41.9
2","37.8
33","31.6
35"
Duke 1,ACC,"119.6
8","90.4
6","53.6
52","45.0
9","17.5
112","19.4
110","35.6
14","29.5
235","33.2
180","24.0
8","68.6
252","69.6
113","58.0
4","45.0
18","30.8
326","29.9
14"
Iowa St. 6,B12,"119.1
9","97.8
55","54.7
26","48.4
65","16.3
41","18.8
149","28.3
176","30.1
258","30.0
262","23.6
4","73.2
94","71.7
237","55.0
25","47.1
53","36.2
81","33.6
123"
LSU 3,SEC,"118.7
10","97.9
58","51.2
143","49.9
135","17.9
136","20.1
76","36.7
9","30.8
272","37.1
65","33.1
190","75.2
34","69.0
80","52.9
67","49.4
140","31.9
291","33.7
133"
Virginia Tech 4,ACC,"118.6
11","94.5
26","55.6
16","49.0
94","17.3
95","21.6
26","29.6
123","27.2
133","31.9
211","26.3
21","76.1
19","72.2
263","52.9
65","49.0
125","39.4
9","32.7
74"
Kentucky 2,SEC,"118.3
12","91.0
7","53.0
74","46.6
22","18.6
180","17.9
216","36.8
8","25.5
54","41.9
14","26.8
26","73.9
71","70.5
157","52.9
68","43.6
8","35.4
115","34.3
171"
Mississippi St. 5,SEC,"117.7
13","98.0
60","54.6
28","50.3
153","19.2
228","19.5
106","34.7
19","29.6
241","32.7
191","32.1
158","71.7
143","71.5
228","53.4
53","48.4
92","37.7
35","35.7
252"
