Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Duke 3,ACC,"126.4
1","99.4
71","53.8
26","49.3
150","14.6
10","18.5
156","35.2
48","31.3
170","38.8
218","40.8
180","72.9
70","69.3
136","50.3
95","50.3
237","39.5
11","30.7
20"
Creighton 3,BE,"125.7
2","102.6
126","58.9
1","48.5
120","15.0
19","14.8
342","27.7
284","27.8
28","33.9
317","33.0
40","74.3
32","69.4
140","56.3
2","47.0
113","41.4
1","34.2
156"
Michigan 2,B10,"125.5
3","100.6
89","55.7
8","49.4
153","14.8
15","17.1
244","29.4
241","30.5
129","34.9
302","26.7
2","76.3
10","73.1
323","52.7
27","50.2
234","40.2
5","31.8
49"
Wisconsin 2,B10,"123.2
4","96.7
38","53.3
32","47.2
76","12.7
2","15.3
325","28.1
275","27.4
17","42.7
100","27.1
3","74.6
24","72.2
294","51.3
60","45.9
74","37.6
57","34.1
150"
Iowa 11,B10,"121.7
5","99.9
77","51.1
105","47.4
82","15.9
39","18.8
135","37.6
17","29.0
65","45.3
55","35.4
69","73.5
49","70.6
208","50.6
82","47.3
121","35.0
136","31.7
47"
Michigan St. 4,B10,"120.1
6","96.0
32","54.5
15","45.8
35","17.4
105","17.7
218","32.9
115","27.5
21","33.7
321","40.3
170","70.7
151","73.0
322","52.1
42","43.5
19","39.2
15","33.2
103"
Baylor 6,B12,"119.7
7","100.2
81","51.3
92","48.7
126","17.8
133","15.8
317","40.1
3","32.0
215","44.8
60","32.3
33","68.1
248","67.0
38","48.3
187","46.4
91","38.0
45","35.6
246"
Kansas 2,B12,"119.7
8","96.3
35","54.2
17","47.1
73","19.1
238","16.4
293","37.3
20","28.8
58","48.3
32","45.5
279","71.1
138","67.8
67","55.5
6","44.3
36","34.0
185","35.5
241"
UCLA 4,P12,"119.6
9","97.3
46","54.1
21","49.9
177","14.5
9","20.3
46","29.8
232","28.6
49","38.2
236","35.7
78","74.9
22","67.6
59","53.0
21","48.6
171","38.0
41","34.4
170"
Louisville 4,Amer,"119.4
10","88.2
2","53.5
30","43.9
5","15.3
25","25.0
2","37.1
23","32.7
243","41.2
144","38.4
131","66.1
296","68.1
77","52.7
25","44.3
37","36.8
70","28.6
2"
Iowa St. 3,B12,"119.1
11","99.5
72","54.2
19","47.7
93","14.5
8","15.9
308","28.8
261","28.5
45","36.4
277","30.7
17","69.3
197","73.2
327","54.4
9","46.0
78","35.8
105","34.1
151"
Oklahoma 5,B12,"118.7
12","100.2
80","51.7
78","49.7
168","15.7
32","17.8
208","32.4
131","30.4
124","39.4
197","38.5
134","74.9
23","71.5
274","48.7
169","48.8
175","37.9
49","34.2
158"
Tennessee 11,SEC,"118.7
13","94.0
17","49.8
160","46.5
54","16.8
71","16.9
258","39.7
5","27.5
19","41.8
124","31.5
25","71.8
111","70.2
185","50.6
86","44.5
43","31.9
282","34.5
182"
Oregon 7,P12,"118.7
14","100.7
91","53.5
31","49.1
140","16.1
48","18.9
127","32.2
143","31.9
213","43.8
81","47.8
301","77.2
6","70.9
229","51.0
68","49.4
198","38.9
22","32.4
66"
Iona,MAAC,"118.7
15","108.4
231","57.4
3","50.6
212","14.8
17","16.7
271","26.1
315","35.6
327","38.0
245","29.4
8","71.4
129","68.4
89","55.8
4","50.4
240","39.6
10","34.1
149"
Kentucky 8,SEC,"117.7
16","96.9
41","49.9
155","46.0
42","18.1
153","16.1
301","42.0
1","29.7
96","51.8
11","36.8
98","68.2
238","69.0
127","50.0
104","44.9
47","33.2
218","32.2
64"
Pittsburgh 9,ACC,"117.7
17","94.7
20","50.7
118","46.7
60","16.3
53","19.2
107","37.2
22","29.0
66","44.3
69","36.4
92","71.2
135","70.7
220","50.1
101","45.5
61","35.1
130","32.6
76"
Wichita St. 1,MVC,"117.0
18","93.6
13","52.4
52","44.7
18","16.2
49","18.2
176","35.0
51","26.2
8","46.9
41","35.7
76","72.4
81","64.9
6","52.3
32","43.6
24","35.0
139","31.1
32"
Arizona 1,P12,"116.7
19","88.1
1","51.7
75","42.3
1","15.7
30","19.1
115","36.4
28","27.3
16","41.0
153","34.2
54","65.9
300","71.6
279","50.7
76","40.2
2","36.4
79","32.0
57"
Florida 1,SEC,"116.4
20","89.1
3","52.2
59","45.4
27","17.5
110","21.3
24","35.3
44","28.0
34","42.4
103","31.2
21","66.8
279","69.3
138","51.3
59","43.5
20","35.9
96","33.0
96"
Oklahoma St. 9,B12,"116.2
21","95.5
28","52.4
47","46.3
50","14.7
13","20.0
58","28.0
280","32.0
220","49.7
21","41.0
186","71.9
107","68.7
106","51.3
58","45.0
50","36.4
77","32.7
82"
West Virginia,B12,"115.7
22","102.5
123","50.4
131","50.6
215","14.2
7","18.5
155","32.4
132","32.5
241","39.1
209","41.6
206","72.1
97","67.7
62","46.9
244","50.0
229","38.1
38","34.5
175"
Villanova 2,BE,"115.7
23","93.1
11","53.6
29","46.3
49","17.3
98","20.0
61","32.6
126","28.7
55","44.5
66","38.6
136","71.6
119","70.7
218","53.8
13","43.0
12","35.6
114","35.3
230"
Providence 11,BE,"115.4
24","101.2
101","48.3
223","48.9
133","17.3
101","16.4
289","35.3
45","30.8
141","41.9
123","33.7
48","78.2
2","68.9
115","46.5
258","48.8
178","34.7
157","32.8
86"
North Carolina St. 12,ACC,"115.4
25","102.1
114","50.0
144","47.5
85","15.8
37","17.4
231","34.1
79","35.6
326","37.0
265","42.6
223","65.7
309","71.2
254","51.5
54","47.3
120","30.5
324","32.1
61"
Virginia 1,ACC,"115.2
26","90.2
5","50.8
116","44.2
7","16.5
59","18.4
163","33.9
86","25.8
6","42.0
117","32.5
35","67.3
264","66.2
25","49.0
151","42.1
7","36.9
68","32.3
65"
Boston College,ACC,"115.0
27","110.6
272","52.1
63","52.1
283","17.4
109","15.0
337","27.1
296","35.1
318","44.5
67","41.5
201","74.3
33","72.9
318","51.7
49","50.3
236","35.1
134","37.9
318"
Minnesota,B10,"114.9
28","99.1
67","51.6
81","48.7
125","18.1
155","18.7
145","31.4
171","31.2
164","39.7
185","40.2
168","73.8
45","72.8
315","50.6
85","47.1
117","35.5
121","34.4
171"
Boise St.,MWC,"114.9
29","104.3
154","51.2
103","51.3
247","15.0
18","17.0
251","32.1
146","26.4
9","36.6
273","42.3
219","75.7
15","70.4
200","49.8
113","50.4
242","35.9
99","35.3
228"
Georgetown,BE,"114.8
30","100.7
92","51.1
107","47.9
105","17.9
141","18.2
178","31.9
156","32.1
223","44.8
59","52.4
331","72.1
93","69.7
153","51.7
46","46.8
105","33.1
223","33.3
115"
Syracuse 3,ACC,"114.7
31","93.5
12","48.2
233","48.0
110","14.8
16","21.9
15","38.1
12","31.5
180","38.2
235","36.7
97","70.8
148","66.8
33","47.7
212","45.5
62","33.1
220","34.5
181"
Missouri,SEC,"114.7
32","103.6
141","51.2
101","47.8
100","19.0
235","15.9
314","34.7
60","30.7
138","52.5
8","37.7
114","74.2
35","68.4
88","51.0
69","46.6
97","34.4
171","33.2
109"
Georgia St.,SB,"114.6
33","104.9
165","53.1
35","49.6
167","11.9
1","20.1
55","24.9
330","34.1
293","38.8
219","36.0
81","77.8
3","67.8
66","51.1
66","48.3
158","38.0
42","34.3
165"
North Dakota St. 12,Sum,"114.6
34","103.6
143","54.5
14","49.8
172","15.6
28","17.1
245","30.6
199","27.9
30","41.6
133","40.2
166","75.8
12","75.3
349","55.4
7","46.1
82","34.7
155","37.8
315"
Belmont,OVC,"114.5
35","105.9
187","57.6
2","52.0
278","18.6
196","20.5
42","28.2
273","33.3
272","41.2
148","42.9
226","74.1
41","69.6
149","56.9
1","52.1
301","39.0
17","34.5
174"
Toledo,MAC,"114.5
36","110.1
257","51.0
110","52.6
299","14.7
12","19.5
87","35.2
47","31.7
200","43.8
83","35.1
64","73.1
65","69.8
160","50.6
87","52.0
297","34.6
160","35.8
258"
