Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Missouri 2,B12,"126.2
1","100.2
129","58.0
1","50.1
222","15.4
3","21.5
97","30.4
230","32.2
175","37.5
143","27.3
13","76.6
10","67.6
84","57.0
1","47.9
172","39.8
10","36.8
280"
Kentucky 1,SEC,"123.5
2","90.4
9","53.8
14","42.0
1","17.1
21","17.6
296","37.8
20","31.2
129","41.7
47","25.8
8","72.3
65","69.4
185","52.7
21","39.6
1","37.8
39","31.8
60"
Florida 7,SEC,"121.8
3","97.9
80","54.8
8","47.8
116","16.9
20","19.1
220","33.5
133","30.2
85","33.2
256","29.9
39","71.3
100","69.3
178","53.0
17","46.2
96","38.0
32","34.2
165"
Indiana 4,B10,"121.2
4","98.2
88","55.2
6","48.1
137","19.2
120","20.0
172","35.3
58","31.3
131","44.5
16","34.3
128","76.3
12","70.2
225","51.5
42","46.2
97","43.1
2","34.9
196"
Creighton 8,MVC,"119.4
5","103.7
200","57.8
2","49.6
196","17.7
39","15.3
343","30.8
221","26.1
9","38.1
124","29.3
32","72.6
59","67.5
81","54.7
6","47.6
162","42.4
3","36.1
256"
Ohio St. 2,B10,"117.9
6","88.1
2","52.1
57","46.4
53","17.6
34","22.2
65","35.7
49","25.2
2","38.1
123","29.0
29","70.9
112","69.9
214","52.9
18","45.2
66","33.4
210","32.5
84"
Purdue 10,B10,"117.8
7","99.5
108","51.1
82","49.9
211","13.5
1","19.5
198","31.8
184","31.5
147","34.1
233","33.8
119","65.6
284","69.9
217","47.8
171","49.1
217","37.7
41","34.4
173"
Syracuse 1,BE,"117.7
8","93.0
20","52.1
58","44.2
15","16.1
8","24.4
11","36.3
33","39.6
342","32.9
259","31.0
52","69.8
150","67.6
87","51.9
32","42.5
14","34.9
138","31.5
48"
Duke 2,ACC,"117.2
9","96.9
61","52.8
38","47.1
86","17.7
40","18.5
258","34.7
75","31.9
159","45.1
13","32.9
90","70.1
135","68.9
151","51.0
53","47.0
132","37.1
57","31.7
54"
Wichita St. 5,MVC,"116.8
10","93.6
24","53.8
15","44.8
22","17.9
45","18.6
250","33.4
139","26.4
12","34.6
214","32.8
89","75.0
25","68.7
137","53.0
16","43.8
33","36.9
63","31.2
38"
Belmont 14,ASun,"116.7
11","100.3
132","55.5
5","48.3
146","17.6
38","20.7
144","34.4
88","32.0
164","38.7
106","35.6
161","73.6
42","65.5
29","54.4
7","47.1
140","38.1
28","33.8
143"
North Carolina 1,ACC,"116.5
12","90.5
11","49.8
139","45.0
25","16.4
9","18.3
268","39.9
9","27.5
26","37.3
149","21.8
1","68.2
216","68.1
108","49.6
103","43.5
28","33.5
206","31.9
63"
Baylor 3,B12,"116.4
13","95.6
44","52.3
50","47.6
105","20.4
186","21.0
130","38.0
18","32.3
179","35.7
186","33.4
108","75.4
22","68.7
136","50.2
78","46.2
99","38.0
31","33.7
138"
Vanderbilt 5,SEC,"116.3
14","94.4
30","54.1
10","46.9
76","20.0
161","19.0
229","32.2
171","31.7
155","40.1
73","28.6
25","69.9
145","69.9
215","51.2
46","47.2
145","38.8
19","30.9
29"
Northwestern,B10,"115.9
15","103.7
202","53.5
20","51.5
265","16.0
6","20.1
164","26.3
313","36.9
326","33.8
243","29.1
31","69.1
175","69.5
195","50.2
79","50.6
273","38.5
21","35.5
223"
Oregon,P12,"115.6
16","102.4
171","53.4
23","49.0
172","19.0
102","18.6
253","33.1
148","31.9
160","38.5
114","31.4
63","70.9
115","67.7
93","52.0
29","48.0
176","37.4
49","34.2
166"
Michigan 4,B10,"114.7
17","96.9
63","53.4
24","49.0
173","17.6
36","19.9
178","28.3
278","30.6
109","28.6
331","30.2
44","72.4
64","71.9
297","54.0
8","47.2
144","35.1
127","35.1
208"
Iona 14,MAAC,"114.7
18","103.7
199","56.5
4","51.1
253","17.4
26","22.2
64","32.1
174","32.3
182","30.3
311","28.8
28","71.3
102","69.6
198","55.7
2","50.1
257","38.7
20","35.4
217"
