Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Baylor 3,B12,"117.0
25","95.0
28","52.5
78","46.1
21","20.6
307","17.1
267","39.8
3","29.4
181","33.9
221","30.1
58","71.9
115","72.5
283","52.2
54","45.0
24","35.3
157","32.2
42"
Syracuse,ACC,"116.8
26","101.6
105","53.5
54","50.3
157","18.0
135","19.7
94","31.6
87","34.5
335","35.1
175","29.2
44","73.9
66","65.8
6","51.3
92","49.6
179","37.9
49","34.3
124"
Xavier 11,BE,"116.3
27","98.9
64","51.9
106","51.6
215","18.4
162","17.5
236","34.5
30","25.5
33","41.1
36","33.4
130","68.8
226","69.8
140","52.0
65","52.5
291","34.5
192","33.4
87"
Indiana,B10,"116.3
28","100.9
94","55.2
22","48.7
90","21.4
323","15.7
327","36.4
14","28.0
117","34.1
217","36.8
209","72.9
92","70.5
177","54.1
26","47.7
107","38.0
48","33.7
95"
Florida St. 3,ACC,"116.1
29","96.2
37","53.7
47","47.9
60","16.4
46","19.5
109","33.8
46","29.8
204","38.4
83","37.3
220","68.9
221","71.5
239","54.4
23","45.4
34","34.7
178","34.9
166"
West Virginia 4,B12,"116.0
30","90.3
5","51.3
138","48.8
95","17.0
71","27.6
1","37.9
6","31.9
288","38.9
77","42.5
314","68.5
236","68.3
60","49.8
155","46.5
63","36.2
111","35.3
183"
Cincinnati 6,Amer,"116.0
31","93.0
12","52.0
105","45.2
11","15.3
14","20.2
64","35.5
22","29.4
182","32.5
259","29.1
41","68.6
232","73.6
324","52.1
58","41.4
5","34.5
190","34.4
131"
Clemson,ACC,"116.0
32","99.9
82","51.1
151","51.9
226","15.8
21","20.1
70","31.4
94","32.2
291","34.3
210","24.1
6","73.1
87","76.6
351","49.8
156","51.0
236","35.7
133","35.6
202"
Arkansas 8,SEC,"115.5
33","100.8
92","51.4
132","47.8
57","16.6
54","18.5
173","31.9
75","34.2
332","38.1
91","39.1
253","76.1
26","70.5
176","50.0
144","46.7
71","36.5
100","33.2
78"
Wisconsin 8,B10,"115.3
34","93.1
14","52.1
101","47.5
45","17.0
68","19.5
111","35.9
18","25.9
42","32.9
249","28.0
32","64.4
332","73.9
333","51.1
96","43.1
11","35.9
128","37.6
304"
