Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Michigan 4,B10,"122.6
1","95.3
50","54.6
11","48.0
143","14.6
1","18.7
241","32.5
137","29.4
71","28.4
330","22.7
1","70.3
148","68.5
118","53.4
11","47.6
175","37.9
25","32.6
103"
Indiana 1,B10,"122.0
2","91.2
16","54.7
9","44.0
15","19.3
134","20.9
119","39.0
7","31.4
148","45.8
6","27.0
17","74.3
32","70.7
248","52.0
25","43.2
29","40.3
5","30.4
29"
Gonzaga 1,WCC,"120.1
3","91.6
20","54.9
8","44.9
33","17.2
31","20.8
125","37.8
21","29.8
85","40.8
49","29.9
48","71.0
117","67.9
89","55.0
6","42.1
10","36.5
58","32.9
114"
Duke 2,ACC,"119.5
4","93.0
32","53.9
17","45.5
50","15.6
4","20.4
144","28.8
268","32.3
187","39.2
88","32.7
88","73.9
39","72.4
316","50.8
47","46.2
120","39.9
7","29.0
9"
Iowa St. 10,B12,"118.3
5","99.8
130","53.8
19","48.0
144","18.5
88","18.6
247","34.2
89","28.5
53","33.0
254","32.7
93","73.1
59","72.3
312","51.9
29","48.8
220","37.4
34","31.1
45"
Colorado St. 8,MWC,"117.8
6","99.9
134","49.2
133","48.6
166","17.2
29","16.5
321","41.4
2","23.2
1","44.1
19","36.4
181","71.1
115","69.6
187","48.4
133","47.1
158","34.1
156","34.1
186"
Creighton 7,MVC,"117.7
7","96.4
69","58.2
1","45.9
66","18.9
114","16.1
327","28.8
267","27.2
29","34.2
226","26.1
13","75.9
12","68.1
97","55.7
3","45.5
90","41.4
1","31.2
48"
Louisville 1,BE,"117.0
8","86.0
2","50.6
83","44.8
32","18.3
81","27.0
2","38.2
17","33.3
243","40.0
67","34.9
144","70.9
121","65.8
23","50.8
48","43.4
36","33.3
197","31.8
69"
Florida 3,SEC,"116.9
9","87.1
4","55.2
6","43.3
9","17.8
52","22.5
44","34.2
88","28.4
51","31.0
294","29.9
49","67.7
224","65.1
10","54.3
8","41.8
7","37.8
27","31.0
42"
North Carolina St. 8,ACC,"116.4
10","99.6
126","54.2
15","46.8
94","18.0
63","16.6
319","34.7
72","32.6
199","40.9
47","29.0
33","68.1
214","72.6
325","52.8
16","47.5
169","39.1
11","30.2
23"
Arizona 6,P12,"115.7
11","93.7
36","52.5
39","46.6
84","19.5
143","19.8
180","35.0
63","26.7
15","37.4
128","32.9
96","74.9
22","71.1
263","50.6
53","43.4
37","37.1
42","35.8
263"
Saint Mary's 11,WCC,"115.3
12","96.4
68","53.7
20","47.1
111","18.3
78","17.9
283","36.9
33","25.0
4","37.0
137","36.9
199","73.0
60","72.2
306","52.3
21","44.0
50","37.3
35","36.7
295"
VCU 5,A10,"115.0
13","93.4
34","51.3
69","49.9
226","16.9
22","28.5
1","36.6
36","34.7
292","29.8
316","40.3
273","70.1
156","68.3
109","50.5
54","50.1
268","35.1
104","32.9
116"
Ohio St. 2,B10,"114.7
14","90.9
14","50.6
88","45.4
46","16.2
10","20.7
131","31.8
160","28.2
44","35.5
187","29.5
43","70.8
126","71.6
288","49.4
89","43.6
40","35.6
86","32.4
92"
Missouri 9,SEC,"114.6
15","96.6
72","51.2
70","46.1
71","18.9
115","17.6
287","38.7
10","28.6
56","35.0
207","29.7
45","74.4
30","68.6
124","51.4
39","44.1
54","33.9
166","33.2
134"
Kansas St. 4,B12,"114.3
16","95.9
61","49.1
138","47.5
128","18.2
73","22.2
52","38.5
13","33.8
256","31.7
275","36.8
198","68.5
210","68.7
131","46.8
201","46.5
131","35.8
75","33.3
142"
Iona 15,MAAC,"114.1
17","106.2
257","52.1
47","51.6
286","17.1
27","19.3
210","32.8
128","33.4
247","32.7
262","32.2
80","78.1
3","66.7
42","50.4
57","49.1
230","36.7
56","37.5
315"
Notre Dame 7,BE,"114.1
18","96.9
75","52.2
44","46.8
95","17.6
44","16.0
329","34.0
94","29.5
74","32.0
271","24.6
5","70.9
124","69.0
146","50.6
51","45.9
109","37.0
50","32.5
99"
Pittsburgh 8,BE,"114.1
19","92.7
30","51.7
55","44.6
29","18.1
68","22.0
58","40.4
4","30.0
93","37.5
122","36.4
183","66.8
257","72.3
315","51.5
35","44.0
51","34.9
115","30.4
30"
