Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Oklahoma St. 7,B12,"114.4
26","95.1
46","52.4
42","48.1
135","18.4
69","19.4
228","29.1
287","27.9
22","36.5
202","37.2
171","71.4
94","69.8
220","52.5
21","45.0
60","34.9
133","36.1
266"
Vanderbilt 4,SEC,"114.1
27","96.5
63","52.6
39","47.0
86","19.3
121","19.2
239","32.6
177","35.1
278","48.3
10","34.5
105","72.3
64","63.2
5","51.5
43","45.2
69","36.9
61","33.9
156"
Northwestern,B10,"114.1
28","104.5
213","52.1
48","48.3
140","17.3
31","20.3
173","30.8
230","34.1
239","35.1
242","41.7
258","71.4
96","72.1
320","50.6
68","48.8
215","35.7
99","31.7
60"
Texas 8,B12,"114.1
29","94.0
35","51.1
77","44.9
28","18.3
65","20.4
165","38.9
16","32.1
145","40.7
95","35.2
125","63.3
326","68.4
148","50.9
57","43.6
24","34.5
151","32.2
74"
VCU,CAA,"113.8
30","98.6
91","52.2
46","46.9
81","17.9
51","20.8
133","36.4
52","33.7
224","35.3
239","30.6
41","70.4
126","66.9
71","50.9
55","47.5
159","36.6
67","30.2
21"
Colorado,B12,"113.6
31","103.0
180","53.4
27","51.7
293","19.2
114","21.6
85","23.6
341","37.9
334","44.5
41","46.8
308","76.7
3","70.1
234","51.5
44","51.9
320","38.2
29","34.2
173"
Michigan St. 5,B10,"113.5
32","93.7
31","51.6
58","46.6
70","21.0
204","18.8
258","39.8
9","28.4
25","36.9
188","31.4
50","68.5
186","71.0
281","51.6
39","45.1
63","34.4
156","32.8
97"
Nevada,WAC,"113.4
33","102.9
177","53.4
26","48.7
155","16.7
17","15.7
342","32.0
197","32.2
156","34.3
263","31.8
61","73.1
41","71.0
275","53.0
18","47.1
135","36.3
78","35.2
226"
Florida 10,SEC,"113.3
34","98.2
84","49.4
140","48.4
146","18.5
81","20.3
175","37.0
38","32.8
180","33.4
283","27.7
13","70.3
128","68.0
121","50.6
69","48.3
194","31.3
280","32.5
88"
Miami FL,ACC,"113.3
35","99.2
100","52.7
38","46.6
69","21.0
206","20.0
193","34.6
101","32.2
151","37.0
183","36.2
141","67.0
231","69.9
225","51.9
31","45.2
68","35.9
90","32.9
104"
Seton Hall,BE,"113.2
36","100.0
113","49.5
138","47.4
102","14.7
3","19.1
244","36.0
61","37.4
324","33.3
285","35.6
132","68.2
201","71.1
289","49.3
105","46.9
131","33.3
213","32.3
76"
Rhode Island,A10,"113.1
37","100.4
126","49.8
127","50.9
264","15.8
5","22.4
52","35.3
79","36.0
295","33.5
280","30.0
33","69.8
143","66.8
68","49.7
96","50.7
288","33.3
210","34.2
176"
Washington 11,P10,"113.0
38","93.7
30","49.7
129","46.5
65","17.5
38","22.0
69","36.9
43","32.2
150","40.9
90","44.6
289","72.0
71","68.2
132","49.5
101","45.9
94","33.6
195","32.1
71"
Mississippi,SEC,"112.9
39","97.8
79","51.6
57","46.4
58","17.0
21","19.8
204","34.7
96","33.2
200","33.4
282","38.2
189","66.3
259","68.4
145","50.3
75","44.6
49","36.1
82","33.4
130"
Houston 13,CUSA,"112.5
40","103.0
178","48.1
199","51.2
274","12.4
1","23.1
33","30.5
244","38.5
340","33.9
272","39.6
219","70.6
118","71.3
294","45.2
255","51.7
314","35.6
105","33.4
132"
Gonzaga 8,WCC,"112.4
41","95.0
42","54.0
18","46.8
75","18.6
84","18.2
280","32.0
200","28.6
28","49.2
7","34.2
99","66.7
246","65.4
30","54.4
7","44.8
53","35.5
112","33.9
159"
Texas A&M 5,B12,"112.3
42","91.1
12","49.6
131","46.7
74","18.4
71","20.6
152","33.5
143","29.7
58","48.4
9","35.4
129","66.4
256","69.9
227","49.0
119","44.9
57","33.8
187","33.6
143"
Missouri 10,B12,"112.1
43","92.3
22","50.1
112","45.9
50","17.8
47","27.1
3","34.7
97","38.1
336","33.9
270","38.9
206","72.4
59","70.2
243","47.6
178","45.2
72","36.8
62","31.7
59"
Boston College,ACC,"111.9
44","99.4
102","49.1
151","47.9
124","19.3
118","17.8
299","38.5
22","31.7
121","30.5
314","31.0
45","71.6
88","67.2
83","49.2
110","48.9
220","32.6
234","30.2
22"
Missouri St.,MVC,"111.8
45","100.2
119","51.2
74","49.3
178","17.3
30","19.7
211","33.2
157","27.6
16","36.3
208","36.8
160","73.2
39","71.2
292","49.3
108","46.0
101","36.6
68","37.6
312"
Pittsburgh 3,BE,"111.8
46","93.7
29","49.6
136","44.6
22","19.4
124","16.9
331","37.0
39","31.1
101","42.8
64","33.8
93","69.3
159","66.1
47","48.9
126","43.6
26","34.3
165","31.4
52"
UNLV 8,MWC,"111.6
47","93.3
27","52.2
47","45.8
47","17.2
28","22.7
44","29.0
291","30.8
93","30.9
311","47.2
311","71.8
80","70.7
261","53.4
14","43.2
18","33.3
209","33.7
149"
San Diego St. 11,MWC,"111.5
48","95.3
49","51.7
53","46.9
82","20.8
191","20.6
154","40.1
8","31.9
132","41.0
89","31.6
55","61.9
333","69.9
230","53.5
12","43.1
16","31.8
265","36.1
268"
Clemson 7,ACC,"111.4
49","91.5
16","51.1
79","46.4
59","21.4
232","24.6
9","36.5
50","33.5
211","34.8
249","35.4
130","66.1
263","67.9
117","50.9
54","47.3
146","34.2
167","29.4
8"
Oklahoma,B12,"111.2
50","103.0
182","50.1
109","52.1
310","18.0
56","17.5
314","29.5
279","30.5
81","34.0
267","29.8
28","74.4
23","72.1
318","48.4
149","49.1
229","35.0
129","38.9
334"
,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
New Mexico St. 12,WAC,"111.1
51","105.5
232","53.2
30","51.1
267","17.8
46","18.5
267","29.9
262","34.2
249","38.0
157","32.0
66","69.7
147","68.9
171","51.4
46","49.8
249","37.5
45","35.7
254"
Georgia,SEC,"111.0
52","100.8
135","50.1
111","48.4
145","22.8
302","17.9
296","38.2
26","32.7
173","38.5
137","32.3
68","71.8
82","73.6
340","48.6
138","47.6
167","36.6
69","33.5
137"
Arizona St.,P10,"110.9
53","94.5
38","53.4
28","45.6
42","19.1
104","20.8
135","28.3
302","31.0
100","38.0
155","34.8
117","71.2
101","68.3
139","51.9
30","44.5
46","36.9
59","31.7
58"
Auburn,SEC,"110.9
54","101.8
155","51.1
78","51.8
297","19.3
119","21.2
109","32.5
183","32.2
155","36.7
197","38.3
192","65.4
281","71.1
291","52.6
20","51.1
299","32.8
226","35.5
250"
Mississippi St.,SEC,"110.7
55","94.0
34","51.4
68","44.0
11","18.5
80","16.6
336","30.6
237","30.5
80","35.3
237","24.8
5","68.5
185","66.6
64","49.5
102","41.8
9","35.8
97","32.5
86"
Sam Houston St. 14,Slnd,"110.6
56","101.9
158","53.7
20","50.2
228","18.8
93","21.0
124","33.6
140","30.1
66","38.7
131","41.2
244","70.6
116","69.2
188","51.9
32","50.4
281","37.6
42","33.3
119"
