Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Ohio St. 1,B10,"126.0
1","91.8
11","56.3
3","48.3
126","15.8
7","23.2
31","35.7
60","28.4
35","37.1
193","20.6
1","70.1
142","73.7
340","52.9
13","46.9
131","42.3
1","34.0
147"
Notre Dame 2,BE,"123.1
2","98.1
70","53.5
20","46.7
62","16.4
14","15.8
337","33.4
131","29.5
66","45.1
28","25.6
3","72.4
78","71.0
266","50.7
58","43.6
24","38.6
21","35.3
218"
Wisconsin 4,B10,"123.1
3","97.8
65","51.8
56","48.2
122","13.1
1","16.8
321","33.8
114","27.1
12","29.5
328","32.9
73","81.8
1","74.4
343","48.9
120","45.2
66","37.4
47","37.0
300"
Kansas 1,B12,"120.9
4","91.0
6","57.0
1","44.5
11","19.1
112","20.1
162","36.7
29","27.9
20","39.3
123","31.9
57","67.9
211","73.0
330","56.8
1","44.5
42","38.2
24","29.8
9"
Duke 1,ACC,"120.6
5","91.5
8","53.7
17","44.5
12","17.2
29","21.0
100","35.1
79","33.2
216","37.4
183","29.6
33","75.3
25","65.0
14","52.5
16","43.1
16","37.4
45","32.4
60"
Pittsburgh 1,BE,"119.8
6","94.1
26","52.9
32","45.1
19","18.4
76","17.5
303","42.9
2","28.6
42","43.1
48","32.3
62","67.1
239","67.6
84","50.5
64","43.2
19","39.5
12","32.6
69"
Kentucky 4,SEC,"119.3
7","93.4
22","52.3
41","44.2
9","16.1
10","18.2
274","34.3
97","30.7
99","36.1
219","30.1
38","71.0
115","72.3
317","48.8
125","42.4
7","39.7
10","32.4
58"
Arizona 5,P10,"118.7
8","98.0
67","54.1
12","48.6
136","18.8
93","18.5
264","34.0
110","29.2
58","43.6
43","36.6
147","74.6
33","67.8
90","51.0
40","50.4
277","39.7
9","29.3
3"
Washington 7,P10,"118.4
9","97.1
57","53.7
18","46.4
51","16.8
18","20.4
139","37.7
13","31.9
156","31.5
306","44.0
284","67.4
229","68.0
106","52.5
17","45.3
68","37.1
53","32.8
79"
Oakland 13,Sum,"117.9
10","105.1
224","55.8
4","49.5
189","18.6
85","16.5
327","36.4
40","32.0
161","39.1
127","31.1
45","71.8
92","72.6
325","55.9
2","47.5
159","37.2
51","36.2
261"
Saint Mary's,WCC,"117.8
11","102.1
138","55.7
5","49.1
163","16.6
16","19.6
194","33.0
146","28.9
51","33.4
281","37.1
159","76.1
16","69.6
177","53.6
7","46.9
130","39.4
13","37.0
299"
Colorado,B12,"117.5
12","104.3
205","52.5
38","50.6
241","16.8
19","19.2
219","34.6
89","32.6
194","39.3
124","35.7
125","77.9
5","70.3
221","51.0
44","48.7
205","37.6
37","36.5
279"
BYU 3,MWC,"117.2
13","95.2
40","51.6
62","46.7
63","15.2
3","20.2
153","30.8
225","28.5
38","38.1
155","33.6
85","76.2
14","68.8
135","50.2
74","45.2
65","35.9
88","33.3
104"
Vanderbilt 5,SEC,"117.0
14","99.3
93","52.9
29","46.0
35","19.0
108","17.5
304","32.9
148","32.1
168","45.2
27","28.0
19","74.3
35","69.7
187","51.1
39","45.6
76","37.1
54","31.3
27"
Boston College,ACC,"116.9
15","104.3
198","54.5
8","50.8
249","17.2
30","16.2
332","30.4
239","33.2
219","31.5
307","25.9
5","72.4
81","70.9
259","52.4
18","49.6
248","38.2
25","35.3
219"
Northwestern,B10,"116.8
16","101.7
134","53.4
21","52.5
310","15.3
5","19.6
193","27.5
305","30.6
96","30.0
322","37.1
161","73.0
60","70.0
205","51.4
35","52.8
326","37.2
50","34.6
178"
Florida 2,SEC,"116.4
17","95.4
42","52.1
45","47.2
81","18.7
89","19.1
227","37.2
22","30.0
77","35.7
236","27.8
17","66.9
247","67.2
65","51.7
24","47.5
161","35.2
123","31.1
24"
Connecticut 3,BE,"115.8
18","93.6
23","48.2
212","44.5
14","17.1
26","17.4
310","38.7
7","34.1
256","33.8
268","26.8
10","76.3
11","68.0
105","47.7
177","42.4
8","32.9
242","32.7
76"
South Dakota St.,Sum,"115.6
19","109.1
288","53.8
16","53.2
324","14.3
2","19.3
211","32.9
150","31.5
135","34.9
253","33.9
91","73.1
56","70.5
232","49.5
98","50.5
278","40.9
4","40.2
342"
West Virginia 5,BE,"115.5
20","95.2
38","48.5
197","45.9
34","18.8
99","18.6
259","40.2
6","35.5
293","40.9
93","36.0
130","71.1
113","69.6
179","47.5
184","47.0
139","33.7
204","29.1
2"
Texas 4,B12,"115.5
21","90.0
2","50.2
109","42.5
3","17.3
32","18.8
249","38.2
9","30.6
93","43.1
47","30.7
43","65.4
281","68.5
123","48.1
158","41.9
5","37.6
39","29.5
6"
Purdue 3,B10,"115.2
22","92.0
13","50.7
92","46.0
37","15.7
6","21.2
89","32.4
163","29.7
72","34.4
259","30.4
41","71.5
103","69.7
189","48.8
126","44.9
57","36.4
72","32.6
70"
Marquette 11,BE,"115.2
23","97.8
64","51.0
76","49.9
214","18.0
58","20.5
136","36.1
47","33.2
215","44.3
36","28.9
25","69.6
162","66.0
31","50.5
68","48.0
179","34.9
147","35.8
249"
Syracuse 3,BE,"115.0
24","93.2
21","53.2
22","45.2
21","18.8
96","20.7
123","36.6
34","33.5
235","35.9
227","29.7
35","66.6
258","66.9
51","52.9
12","44.4
38","35.8
90","31.1
23"
Illinois 9,B10,"114.9
25","92.5
16","52.9
31","45.7
30","19.2
117","18.3
270","31.7
191","31.5
136","28.2
336","32.7
70","72.9
62","72.3
316","50.5
61","45.7
81","38.7
20","30.5
13"
Villanova 9,BE,"114.8
26","97.8
63","49.5
147","46.3
47","18.0
54","18.2
275","35.8
57","30.2
83","42.3
66","36.5
142","75.7
19","70.8
250","48.2
155","45.3
69","34.8
159","32.0
40"
College of Charleston,SC,"114.3
27","102.4
150","54.8
6","48.5
132","17.9
53","19.3
213","32.8
153","35.4
291","27.4
341","27.1
11","74.1
39","67.2
61","54.6
5","47.5
160","36.6
67","34.0
150"
