Utah 5,MWC,"110.2
58","93.3
28","54.6
14","45.1
29","21.0
197","15.9
341","27.6
312","25.6
3","39.2
96","36.3
172","78.5
3","71.9
310","54.1
9","42.5
18","37.0
57","34.9
214"
Purdue 5,B10,"110.1
59","88.8
5","50.0
129","44.1
9","17.3
17","22.4
70","29.4
271","31.8
132","33.2
253","31.3
58","70.3
121","67.0
67","49.0
126","41.8
10","34.7
131","32.8
86"
Western Kentucky 12,SB,"110.1
60","102.1
173","52.4
59","49.5
179","20.1
144","19.7
215","37.1
40","30.9
89","33.8
234","31.3
57","69.3
156","68.9
168","49.9
90","48.2
172","37.7
40","34.9
212"
East Carolina,CUSA,"110.0
61","113.5
338","51.5
75","51.0
255","18.1
39","14.5
344","30.7
242","35.1
268","36.5
176","34.5
134","73.8
36","72.3
317","47.4
193","50.9
281","38.2
32","34.1
161"
USC 10,P10,"110.0
62","91.5
16","50.8
100","46.3
51","21.2
211","19.9
201","37.3
36","31.1
102","42.2
36","32.7
84","67.4
224","70.7
268","51.3
57","44.1
35","32.6
236","33.6
130"
Xavier 4,A10,"109.9
63","90.8
11","52.2
62","43.7
7","21.7
229","18.4
302","36.9
48","27.8
17","45.3
12","33.2
96","67.5
219","66.1
35","48.8
134","41.6
8","39.4
17","32.4
61"
Butler 9,Horz,"109.7
64","95.1
48","51.7
69","44.6
15","20.1
142","20.6
168","32.5
177","29.6
51","43.5
24","34.0
120","72.2
68","71.1
283","50.6
73","42.3
16","35.2
116","32.6
75"
Kansas St.,B12,"109.5
65","94.7
43","48.5
192","47.5
97","20.0
136","24.1
19","42.3
2","31.8
127","42.2
37","48.8
333","65.5
278","70.6
266","46.6
227","45.1
60","35.0
119","35.1
230"
Northern Iowa 12,MVC,"109.4
66","100.0
130","51.6
72","48.7
144","18.5
50","17.0
327","28.5
293","26.7
6","41.9
41","31.8
68","75.7
12","71.2
287","51.5
50","46.3
93","34.4
146","35.0
221"
Texas Tech,B12,"109.3
67","100.9
145","50.3
117","50.3
225","19.7
109","17.9
318","28.1
306","32.5
166","37.6
145","41.8
281","73.3
44","70.5
254","47.9
172","48.8
208","36.9
62","35.6
251"
New Mexico St.,WAC,"108.8
68","105.0
240","52.5
53","48.8
149","18.8
65","20.6
167","32.1
194","37.9
327","37.7
140","35.4
150","70.1
128","70.3
246","49.3
115","48.0
157","40.0
11","33.8
141"
Illinois St.,MVC,"108.6
69","96.3
63","52.1
64","46.9
71","19.2
82","19.6
225","33.2
149","26.8
7","34.2
223","31.0
56","69.2
161","70.6
260","48.6
141","47.6
141","38.0
36","30.4
17"
Cincinnati,BE,"108.5
70","99.1
112","48.4
202","47.2
84","20.8
192","19.1
261","39.4
16","34.7
248","30.3
311","35.3
149","65.8
266","69.8
229","47.7
179","46.8
111","33.0
223","32.2
55"
San Diego St.,MWC,"108.5
71","92.6
20","49.9
132","46.9
73","20.2
149","23.1
48","36.7
52","33.2
201","33.4
243","33.1
95","70.6
108","70.5
257","49.1
119","46.6
102","34.5
136","31.6
39"
VCU 11,CAA,"108.4
72","95.2
49","52.0
65","45.0
27","19.0
74","21.8
102","32.1
196","34.1
232","36.7
165","37.7
205","70.5
110","70.6
259","50.4
77","42.4
17","36.9
60","33.7
132"
UAB,CUSA,"108.4
73","94.6
42","51.4
77","47.9
112","16.7
11","20.6
166","28.3
297","28.8
33","34.6
212","30.4
45","70.7
105","70.3
245","51.8
44","47.5
137","33.7
181","32.5
69"
Houston,CUSA,"108.3
74","97.5
74","47.0
250","46.4
52","13.9
2","21.7
107","33.0
154","35.0
265","36.5
173","32.5
80","74.6
24","70.9
277","46.4
235","45.1
61","32.3
249","32.8
89"
UT Arlington,Slnd,"108.3
75","107.7
278","52.5
55","51.3
271","19.2
85","19.5
233","31.6
208","30.9
93","35.7
194","43.2
299","75.5
17","68.2
119","53.4
20","50.8
276","33.8
175","34.7
196"
North Texas,SB,"108.2
76","107.4
270","48.9
171","50.6
240","18.0
30","17.6
321","34.4
108","30.5
77","48.6
2","43.9
306","73.6
39","67.9
105","46.8
217","49.9
245","35.5
102","34.9
215"
Mississippi St. 13,SEC,"108.2
77","96.0
56","50.0
130","44.7
18","19.9
132","19.0
270","31.2
228","35.8
283","41.1
48","29.5
27","70.4
118","65.4
23","47.4
192","42.1
15","35.9
92","33.7
134"
Temple 11,A10,"108.2
78","94.8
45","51.1
88","46.3
50","19.2
83","18.1
312","32.5
175","29.5
46","28.7
329","30.4
47","70.0
130","67.3
78","48.8
136","43.4
28","36.7
66","34.8
205"
Niagara,MAAC,"108.2
79","97.6
76","47.6
225","45.6
36","18.6
60","23.4
38","39.0
22","39.4
336","41.2
47","32.8
86","71.0
98","64.3
10","48.3
153","44.4
40","30.9
307","32.4
66"
Portland St. 13,BSky,"108.1
80","105.0
239","53.5
29","51.0
253","19.8
120","21.4
123","32.7
166","32.6
168","29.8
322","32.6
82","67.1
237","70.6
264","51.1
60","50.4
266","37.6
41","34.8
202"
Troy,SB,"107.9
81","109.8
306","53.3
33","52.9
315","17.3
18","19.4
238","30.5
247","33.4
211","31.0
302","29.5
29","69.6
148","68.3
130","51.4
56","50.8
277","37.6
43","37.4
316"
Pacific,BW,"107.9
82","102.9
188","53.8
24","49.8
198","19.9
123","20.4
178","32.8
163","30.1
70","35.3
201","34.9
139","67.8
206","71.6
300","51.1
61","47.3
129","38.8
21","35.9
266"
Iowa,B10,"107.7
83","99.0
109","53.0
40","49.8
199","21.6
222","19.1
263","28.2
302","31.0
100","33.8
236","32.0
71","74.4
26","68.6
144","51.6
47","48.0
154","36.4
72","35.3
240"
Kentucky,SEC,"107.7
84","93.5
32","53.4
32","44.9
25","24.0
314","20.4
179","35.0
94","31.8
129","40.1
67","33.3
102","77.3
7","69.0
173","53.6
17","40.8
4","35.3
111","35.2
235"
College of Charleston,SC,"107.7
85","107.4
272","54.1
19","49.6
186","18.0
36","19.4
239","33.4
141","36.0
291","32.0
284","27.8
15","65.9
265","69.1
185","52.3
34","48.4
181","38.2
30","35.0
220"
UTEP,CUSA,"107.5
86","98.1
84","46.8
259","48.6
141","17.2
15","20.4
176","33.0
160","29.8
56","46.4
7","43.8
304","71.6
83","71.5
297","46.7
222","48.0
161","31.2
296","33.3
114"
Tennessee Martin,OVC,"107.5
87","104.5
225","50.3
111","50.2
220","18.3
47","22.3
78","36.7
54","36.0
290","31.1
298","36.8
187","73.6
38","66.1
34","51.4
54","49.3
224","32.4
245","34.8
209"
Cornell 14,Ivy,"107.4
88","102.1
172","53.5
30","46.5
55","19.5
100","19.9
197","32.6
171","30.3
71","32.4
276","33.9
119","73.3
43","70.0
237","50.1
88","46.8
110","40.2
9","30.5
20"
Auburn,SEC,"107.1
89","93.6
35","50.3
112","48.0
117","18.5
52","23.0
52","31.1
234","30.4
75","37.6
144","37.0
192","60.7
339","66.1
36","50.4
76","46.5
99","33.5
189","33.5
125"
South Carolina,SEC,"107.1
90","95.4
51","50.3
114","48.0
118","18.2
44","26.1
6","34.1
119","36.7
308","33.7
238","36.7
181","63.9
304","71.4
295","48.0
166","47.4
134","37.1
53","33.2
107"
Jacksonville,ASun,"107.0
91","103.8
211","50.1
124","51.0
256","20.8
188","23.2
44","39.5
15","30.7
81","40.7
58","42.1
286","69.2
163","66.3
41","49.0
128","48.8
205","35.0
120","37.4
317"
Vermont,AE,"107.0
92","98.7
97","53.2
36","46.9
70","20.7
184","22.8
58","32.4
179","33.6
217","45.3
13","36.3
170","69.9
135","68.2
121","52.4
32","44.9
54","36.9
59","34.4
175"
Colorado St.,MWC,"107.0
93","107.6
273","48.5
193","55.3
339","19.9
125","20.1
192","31.6
206","31.2
108","38.6
112","38.8
232","72.0
72","69.3
195","46.3
242","55.0
338","35.4
105","37.2
312"
Portland,WCC,"106.9
94","101.4
153","53.6
28","49.1
160","21.3
215","20.8
156","33.5
140","30.5
78","32.8
267","47.7
328","66.5
249","68.7
154","48.8
133","49.3
227","41.8
2","32.4
60"
VMI,BSth,"106.9
95","108.9
296","52.3
61","55.6
340","16.2
5","27.2
1","27.2
319","42.1
344","32.9
266","30.6
48","74.1
30","66.3
39","52.3
33","56.9
342","34.8
128","34.8
208"
Vanderbilt,SEC,"106.9
96","95.7
54","50.9
94","45.8
39","22.1
245","18.5
296","33.7
136","29.5
45","43.8
22","31.7
64","71.6
81","69.6
213","50.9
66","42.0
12","33.9
171","35.7
258"
Sam Houston St.,Slnd,"106.8
97","103.7
206","51.0
92","50.4
228","21.0
198","20.9
149","35.4
81","32.3
152","42.0
38","47.4
327","70.7
106","64.8
15","48.5
147","49.5
232","36.7
65","34.8
204"
Richmond,A10,"106.7
98","101.7
163","51.8
66","48.6
140","18.0
37","22.3
77","28.7
288","36.1
294","33.3
248","42.8
291","67.7
211","71.7
304","52.1
39","48.0
153","34.1
158","33.3
112"
Minnesota 10,B10,"106.5
99","92.0
18","49.6
148","47.0
79","22.4
264","23.3
43","35.8
71","33.9
227","34.5
216","36.1
167","71.8
76","72.6
325","49.6
105","43.3
27","33.0
218","35.5
249"
Alabama,SEC,"106.4
100","98.4
90","47.8
217","46.7
66","20.8
194","19.8
208","38.1
27","36.0
289","38.4
117","31.7
65","70.5
112","67.9
107","47.2
200","46.7
107","33.0
222","31.1
30"
,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Wyoming,MWC,"106.3
101","103.2
193","51.7
68","49.6
189","20.4
160","15.3
342","26.2
326","28.6
28","54.4
1","31.5
61","73.0
51","71.7
302","51.0
62","50.0
249","35.4
108","32.6
74"
Illinois 5,B10,"106.2
102","88.4
4","51.1
86","44.2
11","19.4
96","21.6
113","30.2
253","32.7
171","22.5
344","26.7
12","71.1
94","63.1
4","50.5
75","44.1
36","35.0
121","29.6
7"
Austin Peay,OVC,"106.1
103","108.7
295","52.9
44","52.3
300","19.5
103","19.8
207","32.0
199","33.2
203","37.4
152","39.6
247","68.8
179","70.6
261","52.0
41","51.2
289","36.5
69","36.1
270"
Wofford,SC,"106.1
104","112.5
330","51.1
87","53.4
322","21.0
200","19.7
222","37.2
37","34.2
236","38.9
103","29.2
25","68.7
181","69.0
182","49.7
101","51.7
306","36.0
86","37.6
325"
Marshall,CUSA,"106.0
105","104.7
230","48.5
196","54.4
332","19.6
105","21.0
143","33.7
137","30.1
69","41.3
46","44.7
312","72.0
70","72.5
321","49.5
110","51.6
301","31.2
295","41.2
343"
Florida St. 5,ACC,"105.8
106","90.7
10","49.2
162","44.7
19","22.9
287","22.3
82","34.6
100","35.4
275","39.2
95","35.7
159","72.5
59","68.8
160","48.1
161","42.1
14","34.2
154","32.7
80"
Oregon St.,P10,"105.7
107","100.0
129","52.8
47","51.9
287","21.7
231","19.7
223","27.7
310","32.0
141","30.2
313","29.4
26","64.8
293","69.7
221","52.6
29","52.1
314","35.5
101","34.4
176"
Belmont,ASun,"105.7
108","101.9
169","52.9
42","49.8
200","20.3
156","22.3
81","32.4
180","33.1
198","33.9
233","36.4
176","68.4
186","66.4
43","52.7
28","50.2
258","35.4
103","32.7
79"
Nevada,WAC,"105.6
109","98.8
99","46.2
281","47.6
100","17.4
20","19.7
212","33.8
134","31.6
123","40.4
62","41.2
270","74.0
31","67.3
75","46.8
219","44.8
50","29.8
320","36.8
302"
Southern Miss,CUSA,"105.6
110","104.6
227","46.2
283","51.2
267","15.5
4","18.7
284","30.5
249","29.1
38","39.9
74","39.9
253","72.2
69","71.6
298","46.0
252","49.2
222","31.3
291","36.5
289"
UCF,CUSA,"105.4
111","103.0
189","50.2
121","49.9
207","21.1
206","20.6
169","35.2
87","33.3
207","33.7
239","42.7
289","74.3
28","69.0
176","49.6
104","48.7
198","34.2
156","34.6
190"
UNLV,MWC,"105.4
112","94.4
39","49.2
165","48.4
131","17.6
22","23.5
32","28.7
287","32.0
139","37.9
131","34.3
125","68.3
187","70.6
262","47.6
185","46.1
85","34.5
134","35.4
244"
Chicago St.,ind,"105.2
113","112.7
331","51.3
78","52.9
316","19.9
130","22.7
61","37.2
39","34.1
230","37.6
147","45.0
316","67.8
208","68.4
138","51.6
48","51.3
292","33.8
173","37.4
318"
La Salle,A10,"105.1
114","99.6
124","48.9
173","48.4
132","20.8
187","18.7
285","36.7
51","30.0
63","39.8
78","32.8
87","68.5
184","68.0
114","48.3
156","46.3
95","33.5
193","35.6
253"
Illinois Chicago,Horz,"105.1
115","102.4
179","46.5
265","47.6
98","19.8
118","19.7
214","35.5
76","32.1
142","32.2
280","32.7
85","77.2
8","69.9
232","43.0
318","46.8
114","36.2
76","32.5
67"
Bradley,MVC,"105.1
116","101.0
149","49.9
134","49.6
190","22.1
248","22.7
62","33.5
138","34.9
262","44.5
19","34.5
133","71.9
74","73.1
334","50.2
87","48.4
183","32.8
229","34.5
183"
Lipscomb,ASun,"105.0
117","103.5
201","52.5
52","47.8
105","23.1
291","18.7
287","37.1
41","30.4
74","45.7
10","32.1
73","66.8
244","65.3
22","51.8
45","47.2
127","36.0
89","32.6
73"
Saint Joseph's,A10,"104.9
118","98.5
94","48.7
185","47.3
90","20.0
138","19.0
271","31.5
212","33.1
199","40.2
63","29.7
31","73.4
41","67.5
88","48.1
162","45.8
78","33.4
196","33.7
139"
East Tennessee St. 16,ASun,"104.9
119","100.3
136","50.7
102","48.0
116","18.9
66","22.7
60","32.1
190","31.6
124","39.5
86","32.4
78","70.6
109","69.2
192","50.8
68","46.9
115","33.6
186","33.0
99"
Arkansas,SEC,"104.9
120","100.9
146","49.3
159","51.3
272","19.2
86","20.9
148","33.9
129","31.1
105","37.3
155","31.7
66","65.1
284","66.4
44","49.1
125","48.8
204","33.2
208","36.9
304"
Liberty,BSth,"104.8
121","108.5
293","52.1
63","50.7
245","19.1
79","20.8
153","29.9
263","35.0
266","36.2
183","26.1
9","71.2
93","67.7
96","51.8
46","50.0
247","35.0
122","34.4
177"
Rider,MAAC,"104.8
122","105.6
248","50.3
109","49.4
177","19.9
129","20.3
181","32.2
186","33.6
219","33.1
258","35.1
144","67.4
226","65.2
20","48.9
129","48.0
158","35.3
112","34.7
194"
Tulsa,CUSA,"104.8
123","93.3
30","50.0
126","43.6
5","21.8
234","17.2
325","34.0
126","28.2
23","41.3
45","37.9
209","69.7
143","67.0
68","49.6
102","44.4
39","33.9
172","27.8
1"
Utah Valley,ind,"104.7
124","104.1
213","53.2
37","46.5
56","20.0
133","16.9
330","31.2
231","29.5
47","38.4
115","38.9
235","77.6
5","67.9
103","50.2
86","47.8
146","39.2
19","29.2
5"
Old Dominion,CAA,"104.7
125","97.7
79","48.6
188","47.4
93","19.4
93","20.7
160","40.1
8","29.2
39","32.5
274","26.4
11","63.9
305","68.2
128","48.5
145","47.5
138","32.6
235","31.5
37"
Massachusetts,A10,"104.6
126","102.3
175","50.5
106","50.0
211","20.0
139","18.9
276","28.7
285","34.4
241","28.8
328","29.5
30","69.4
154","68.6
146","48.0
169","48.8
207","36.0
88","35.2
234"
