Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
North Carolina 1,ACC,"123.8
1","92.7
24","52.8
46","46.6
61","16.6
10","20.7
159","39.2
19","32.2
143","39.8
76","25.4
7","75.6
14","69.2
188","51.0
63","44.7
46","38.5
24","33.6
127"
Pittsburgh 1,BE,"121.4
2","93.2
27","52.9
43","46.5
57","18.2
41","19.2
254","42.5
1","30.1
67","33.0
261","30.2
40","67.5
222","70.2
243","52.8
25","45.1
59","35.4
107","32.9
92"
UCLA 6,P10,"120.0
3","95.0
46","55.7
5","49.8
196","19.0
72","23.9
21","36.3
58","31.3
112","31.2
297","35.6
158","72.4
63","69.6
212","53.5
19","48.0
152","39.9
12","36.1
269"
Oklahoma 2,B12,"118.6
4","94.3
38","55.2
6","45.8
38","20.1
146","18.3
305","36.9
46","31.9
133","46.5
4","28.8
21","67.5
220","68.8
162","56.6
4","43.0
22","35.1
118","33.9
152"
Arizona 12,P10,"118.4
5","101.7
159","53.0
39","51.0
254","19.4
97","18.4
300","35.9
66","34.4
240","37.5
149","25.1
6","73.8
35","69.0
177","51.0
64","50.0
250","38.7
22","34.9
211"
Arizona St. 6,P10,"118.0
6","94.6
40","56.4
2","47.0
77","18.6
56","19.5
232","29.1
276","30.0
65","38.7
107","30.9
49","73.7
37","73.8
342","57.1
2","46.5
98","37.0
56","31.9
46"
Duke 2,ACC,"117.6
7","93.3
29","50.5
104","47.8
107","17.6
24","23.5
33","37.4
33","33.2
200","41.4
44","31.0
54","72.8
53","68.9
167","49.6
103","46.7
105","34.9
124","33.8
142"
Marquette 6,BE,"117.3
8","95.9
55","51.2
84","50.9
251","16.7
12","21.5
119","35.0
93","30.6
80","45.4
11","30.1
37","72.8
55","67.3
76","50.7
70","50.3
264","34.7
132","34.7
195"
Missouri 3,B12,"117.1
9","91.6
17","52.7
50","46.3
49","16.3
6","25.1
11","34.3
111","34.7
250","36.6
169","39.9
257","67.2
233","67.4
85","52.7
27","46.7
104","35.2
114","30.3
16"
Syracuse 3,BE,"117.1
10","93.5
33","54.4
16","46.7
64","20.8
193","19.2
255","35.9
67","35.3
271","39.3
92","26.2
10","64.6
298","63.6
7","55.4
5","48.1
164","34.9
127","29.6
8"
Gonzaga 4,WCC,"116.9
11","92.5
19","55.2
7","44.2
10","16.4
7","21.3
126","30.8
239","30.4
76","35.5
196","29.5
28","71.5
84","68.4
134","53.3
21","39.4
1","39.4
16","35.2
233"
Oklahoma St. 8,B12,"116.9
12","97.8
81","54.0
20","50.2
219","17.0
14","20.8
152","28.2
304","31.2
110","39.4
90","41.3
273","74.8
23","69.8
225","51.4
53","49.4
231","38.4
28","34.5
178"
California 7,P10,"116.8
13","99.4
117","54.0
21","49.0
157","18.0
31","18.5
294","32.5
176","30.8
87","34.3
220","33.0
93","75.5
16","70.5
253","50.3
84","47.7
143","42.7
1","34.9
210"
Clemson 7,ACC,"116.6
14","96.5
66","52.8
45","48.3
125","20.2
152","24.4
14","39.8
12","37.1
315","31.5
289","32.5
81","68.8
178","66.7
53","51.0
65","46.0
81","37.4
47","35.9
267"
Baylor,B12,"116.5
15","99.5
118","53.8
23","49.3
172","18.7
62","19.8
206","31.4
220","33.4
210","38.4
121","36.4
175","71.0
100","71.2
288","53.2
22","48.3
177","36.4
71","34.3
170"
Connecticut 1,BE,"116.3
16","87.1
3","51.3
82","42.4
2","18.1
38","16.8
331","39.8
11","30.6
79","46.4
6","19.5
1","67.8
203","69.9
235","51.4
52","40.9
6","34.1
161","30.4
18"
Utah St. 11,WAC,"116.1
17","102.0
170","55.7
4","47.3
86","18.2
40","17.0
326","36.0
64","27.9
18","37.6
143","30.4
43","74.5
25","74.5
343","54.0
10","44.3
38","39.5
13","36.3
276"
Notre Dame,BE,"115.7
18","98.8
100","50.0
125","47.8
108","13.9
1","14.7
343","31.5
211","30.8
88","27.0
338","27.2
14","71.0
99","66.9
62","45.2
272","47.0
121","39.2
20","33.1
104"
Florida,SEC,"115.6
19","98.8
101","54.6
13","50.5
234","17.6
23","22.0
92","32.6
170","32.2
147","30.0
317","29.9
35","69.3
159","62.5
1","54.4
8","49.4
229","36.7
64","35.1
228"
Tennessee 9,SEC,"115.3
20","97.5
73","50.9
95","50.6
239","18.6
57","21.1
136","37.9
30","31.0
97","36.7
168","36.8
185","67.6
216","68.5
143","52.9
24","50.7
273","31.5
281","33.7
140"
West Virginia 6,BE,"115.2
21","91.1
13","48.5
191","46.6
63","18.2
42","23.4
37","41.0
4","31.5
118","35.9
191","38.4
222","69.8
141","68.2
123","48.0
164","47.1
122","32.9
224","30.2
15"
Villanova 3,BE,"114.6
22","91.2
14","50.8
97","47.3
87","19.0
70","21.7
108","36.1
62","29.9
59","41.9
40","38.7
229","75.3
18","67.8
101","49.8
95","45.0
58","35.2
115","33.7
136"
Duquesne,A10,"114.5
23","105.4
246","54.5
15","52.1
295","19.2
90","22.2
85","32.1
193","35.9
287","37.4
151","33.8
114","69.6
149","69.9
233","55.0
6","52.1
312","35.9
91","34.8
207"
Kansas 3,B12,"114.4
24","90.4
9","53.2
35","44.0
8","20.8
186","19.4
244","36.7
53","29.2
40","39.5
85","35.1
143","72.5
58","72.6
324","52.2
38","40.8
5","37.1
54","33.4
117"
Michigan St. 2,B10,"114.0
25","90.2
8","49.8
138","47.2
81","20.9
196","20.3
182","40.7
6","27.1
8","41.1
49","36.5
177","69.8
140","69.6
214","48.5
146","47.0
120","35.4
104","31.8
42"
BYU 8,MWC,"113.8
26","93.6
36","54.8
11","45.9
41","16.5
8","20.1
191","28.3
298","25.7
4","35.2
202","36.3
174","72.8
52","70.4
249","53.6
14","46.3
92","38.1
34","30.2
13"
North Carolina St.,ACC,"113.8
27","102.3
177","53.8
22","47.9
110","21.6
225","16.7
334","35.7
72","32.9
178","37.8
137","28.3
18","71.7
79","73.0
332","52.5
30","47.0
118","37.5
46","33.4
116"
Texas A&M 9,B12,"113.5
28","97.9
82","50.4
107","48.8
150","19.2
84","18.3
304","36.2
59","29.7
54","46.5
5","30.1
36","69.0
168","69.0
180","48.7
140","46.3
94","36.2
79","36.4
282"
North Dakota St. 14,Sum,"113.5
29","102.7
185","54.2
18","49.8
197","16.8
13","18.5
293","32.5
174","27.6
14","37.3
154","29.7
32","74.4
27","71.8
305","51.5
51","48.5
186","40.3
8","35.6
250"
Boston College 7,ACC,"113.4
30","100.7
142","49.7
142","47.4
92","19.7
112","18.4
301","40.6
7","37.1
314","36.6
171","34.8
136","73.8
33","69.4
201","49.4
113","46.7
106","33.4
197","32.8
88"
Oakland,Sum,"112.9
31","107.3
269","54.3
17","51.2
262","19.1
78","18.8
277","35.0
92","34.9
260","36.3
181","28.4
20","69.9
138","73.2
337","53.6
18","48.4
180","36.9
61","37.6
324"
Louisville 1,BE,"112.8
32","86.5
2","52.7
48","44.3
12","19.9
126","23.3
40","35.2
85","32.4
157","31.4
293","30.2
41","64.2
303","68.1
118","51.1
58","43.3
26","36.9
58","30.9
25"
Ohio St. 8,B10,"112.7
33","96.2
60","54.8
12","47.7
101","21.1
208","21.3
131","28.2
301","34.1
235","38.3
122","24.6
4","70.1
126","69.4
203","53.9
11","44.6
42","37.5
45","34.8
203"
Memphis 2,CUSA,"112.6
34","84.2
1","50.1
122","41.4
1","18.3
46","22.4
71","38.0
29","30.4
73","39.9
71","35.5
153","69.0
167","68.6
147","50.6
72","40.0
2","32.6
234","30.0
11"
Rhode Island,A10,"112.6
35","101.5
155","53.2
38","50.7
244","18.8
64","21.1
137","36.9
49","33.1
194","34.1
228","33.9
118","69.7
145","68.5
142","51.1
59","51.3
293","39.2
18","33.0
95"
Stanford,P10,"112.5
36","97.7
78","52.5
54","51.9
288","18.5
53","22.1
89","32.0
198","31.3
113","33.5
242","32.8
88","70.5
116","68.8
161","49.9
92","51.7
305","38.4
25","35.1
226"
Washington 4,P10,"112.4
37","90.8
12","48.8
179","46.8
67","20.1
145","20.2
190","41.9
3","31.0
95","44.3
20","33.3
100","69.9
136","68.2
122","48.4
148","45.4
70","33.8
174","33.4
118"
Green Bay,Horz,"112.4
38","103.2
192","51.6
73","47.9
111","19.1
80","22.5
64","33.9
132","37.3
320","38.6
110","38.0
213","78.9
2","71.2
286","46.2
244","47.1
123","40.7
4","32.8
84"
Texas 7,B12,"112.3
39","93.0
26","48.5
190","46.0
43","18.6
59","20.0
194","39.2
20","32.7
170","38.6
108","36.6
180","66.8
242","67.5
92","48.2
158","43.5
30","32.8
231","34.3
172"
Wisconsin 12,B10,"112.2
40","94.8
44","49.9
133","48.9
155","16.6
9","19.4
237","31.3
222","25.8
5","34.6
213","34.1
122","72.6
57","71.8
306","47.7
181","49.0
214","36.0
87","32.6
72"
LSU 8,SEC,"112.0
41","96.7
67","49.9
131","45.6
34","17.7
26","19.2
253","37.6
31","30.8
85","35.4
197","35.2
145","71.6
82","69.2
191","47.6
183","44.9
56","37.2
52","31.5
36"
New Mexico,MWC,"111.9
42","96.1
59","52.7
49","47.5
95","18.4
49","21.4
122","30.7
244","27.1
9","46.0
9","47.9
329","70.2
124","72.8
328","50.3
85","44.0
33","38.1
33","35.3
239"
Wake Forest 4,ACC,"111.9
43","93.4
31","52.4
56","45.2
31","21.1
203","20.9
150","36.1
60","31.0
98","43.5
25","32.7
83","71.1
96","70.5
255","53.6
15","45.0
57","32.0
261","30.4
19"
Penn St.,B10,"111.6
44","98.6
95","51.2
83","49.2
166","17.3
16","18.3
303","32.7
165","28.1
22","33.9
232","23.1
2","65.8
268","71.8
309","49.4
112","49.3
226","36.1
84","32.7
78"
Eastern Kentucky,OVC,"111.5
45","111.7
322","56.2
3","53.0
318","18.2
45","22.8
54","31.5
213","40.6
342","28.4
331","31.4
60","70.0
134","68.7
152","52.1
40","52.5
324","40.6
6","35.8
262"
Michigan 10,B10,"111.4
46","96.1
58","50.2
120","49.0
158","18.0
34","21.3
127","28.7
286","33.2
206","28.4
330","29.8
34","75.7
13","72.5
320","50.3
81","50.0
251","33.4
194","31.4
33"
Providence,BE,"111.4
47","100.7
141","50.6
103","50.5
235","19.8
121","20.2
189","36.9
47","36.1
293","39.5
88","29.1
23","67.9
202","69.6
215","51.9
43","50.1
255","32.1
257","34.2
168"
Mississippi,SEC,"111.1
48","102.4
180","49.2
161","48.8
151","19.2
88","17.6
323","35.6
74","34.9
259","34.2
224","36.9
190","72.8
54","67.4
82","48.2
157","48.8
206","34.0
165","32.6
76"
Creighton,MVC,"111.0
49","98.8
103","51.6
71","48.0
115","18.0
35","23.5
34","28.9
281","34.1
234","39.8
77","37.6
201","74.9
21","69.0
175","48.3
155","46.0
82","38.0
35","34.6
188"
Northwestern,B10,"110.8
50","98.7
98","52.6
51","49.6
187","18.5
54","24.6
12","27.8
308","35.8
284","29.4
324","36.5
179","69.0
170","70.8
275","48.7
139","48.5
188","38.6
23","34.2
164"
,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Seton Hall,BE,"110.6
51","99.2
114","48.8
180","47.7
103","17.3
19","21.1
135","31.6
209","40.3
341","33.4
245","44.3
308","71.5
87","66.6
48","48.6
142","47.7
144","32.9
226","31.9
49"
Saint Mary's,WCC,"110.5
52","97.4
71","49.8
140","45.8
40","18.6
55","18.4
299","39.3
18","29.9
58","39.9
72","29.2
24","68.9
175","69.0
181","49.8
96","44.0
34","33.3
203","33.9
153"
Miami FL,ACC,"110.4
53","95.2
50","49.3
158","46.2
46","19.7
108","18.9
275","38.6
23","32.0
136","38.2
124","31.0
55","67.9
198","72.8
329","46.0
250","44.8
52","36.6
68","32.3
58"
Maryland 10,ACC,"110.4
54","96.2
61","47.0
245","48.1
123","17.6
25","22.3
76","35.1
89","36.9
311","28.0
334","30.2
42","75.8
11","68.9
166","45.9
255","46.0
84","33.3
199","34.7
198"
Georgetown,BE,"110.3
55","92.7
23","53.0
41","45.9
42","22.2
254","21.8
104","33.4
142","36.3
300","41.9
39","33.3
101","71.5
85","70.8
274","54.8
7","44.7
45","33.2
206","32.1
51"
Siena 9,MAAC,"110.3
56","98.2
87","51.0
91","49.2
167","18.2
43","23.3
39","34.3
109","34.9
261","35.7
193","24.4
3","66.4
251","68.2
124","51.5
49","48.4
182","33.0
217","33.9
154"
Virginia Tech,ACC,"110.2
57","98.5
92","49.0
169","48.0
119","19.5
101","18.5
295","35.3
84","31.6
122","40.9
52","33.2
97","72.4
62","72.9
331","48.4
149","46.6
103","33.7
183","33.8
144"
