Year,Round,SeedDiff,OffEff,DefEff,OffFgp,DefFgp,OffTop,DefTop,OffRp,DefRp,OffFtr,DefFtr,OffFtp,DefFtp,Off2pp,Def2pp,Off3pp,Def3pp,ScoreDiff
2022,1,-15,17.1,-11.7,1.9,2,-2.2,4.5,6.2,1,-9.3,-5.8,0,5.8,2.8,2.1,0.3,0.7,36
2022,1,-1,6.7,-3,-0.6,1.6,-0.8,-5.3,9.4,-10,4.1,-8.1,2.3,2.2,-2.5,1.1,1.4,1.7,32
2022,1,-7,2.1,-1.1,2.1,2.1,-0.2,1.6,0.4,-3.4,-10.2,-5.6,6.3,-3.1,1.6,3.1,2.2,1.3,29
2022,1,-9,10.3,-9.5,-1.9,-1.5,-4.5,1.9,2.3,-1.1,-9.8,2.2,4.7,1.9,-2.7,-0.1,0.1,-2.7,4
2022,1,-5,-3.1,-3.7,-5,-2,0.8,4.3,3.8,3.6,7.5,13.4,-0.5,-6.4,-2.1,-2.7,-6.2,-0.5,8
2022,1,-11,22.2,-0.4,6.8,0.2,-0.8,-4.2,9.6,-2.9,6,-10.5,-2.2,3.2,5.7,-2.6,5.8,2.7,22
2022,1,-3,-0.2,3.2,-0.5,1,-0.8,2,5.3,1.7,3.9,-7,0.4,-3,-1.2,1.8,0.2,0.8,5
2022,1,13,-20,-2.3,-5.6,-2.7,3.4,3,-6.8,4.1,9.4,15.8,-2.3,0.6,-7.9,-2.8,-0.1,-1.6,6
2022,1,-15,13.2,-12.5,3.9,-7,0.6,-1.1,3.7,-1.5,3.3,-2.1,-2.7,-4.1,4.5,-10.1,1.9,-1,17
2022,1,1,3.2,-1.3,1.5,1.8,3.7,0.1,5.4,-3,0.9,-0.9,-7.8,-6.4,4.5,2.9,-3,-0.2,27
2022,1,-7,4.7,-10.6,0.3,-5.1,0.5,0.6,4.4,0.5,-0.3,3.4,-7.3,1.1,3.7,-4.4,-4.2,-4.1,14
2022,1,-9,4.6,-4.3,0.3,-3.4,1.1,-2.6,0.4,0.4,5.2,0.4,-5.3,2.3,-1.6,-6.9,2,1.6,1
2022,1,5,2,-1.9,-2.7,-0.4,2.1,-3.8,9.1,-1,-0.2,0,-2.7,1.7,-3,-0.6,-1.7,-0.3,12
2022,1,-11,5.6,-16.6,-0.8,-5,-0.7,2.9,-0.8,2.7,-6.4,5,-1.1,-2.9,0.6,-7.9,-2.5,-0.8,32
2022,1,-3,8.6,6.2,-1.3,0.7,-1.4,-4.6,4.2,4.7,1.9,0.2,4.6,-0.5,-0.9,-1.5,-1.1,2.9,13
2022,1,-13,10.7,-10.2,-1.9,-2.3,-2.8,-0.1,4.5,-2.4,-4.7,-4.1,8.6,-2.6,-4.9,0.4,1.4,-4.6,20
2022,1,-15,23.5,-7.2,5.6,0.5,-4.1,0.8,-0.1,0.6,-1.3,-5.7,3.8,7.2,5,1.3,4.7,-0.6,27
2022,1,1,2.4,5.2,1.9,0.8,1.1,-6.4,-1.1,1.2,-4.4,-10.2,4.6,4.8,6.6,0.1,-4.6,1.7,3
2022,1,7,-14.2,1.9,-2.2,0.8,1.3,-0.4,-9.9,-2.5,1,-2.9,-3.1,1.4,-0.2,0,-3.3,1.4,4
